"Realm","Character","Name","Tier","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Minimum LB Points","Limit Break Bonus","Mastery Bonus","Relic","Name (JP)","ID"
"II","Guy","Woven Bond: Guy (Earth)","LBC","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit, grants [Chain Force Mode (Guy - Earth)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Guy's Dual Haken (II)","紡絆・ガイ地","22430018"
"II","Hilda","Woven Bond: Hilda","LBC","WHT","Single enemy","Magical","27.00","Holy, NE","0.01","Ten single attacks (2.70 each) capped at 19999, activates II Chain (max 150, field +0%) or adds 25 to the current II Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Hilda] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Tinkerbell (II)","紡絆・ヒルダ","23300014"
"III","Luneth","Tempest Dash","LBO","PHY","Single enemy","Physical","40.00","Wind","2.50","Five single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Kazekiri (III)"," 駆けろ、疾風のごとく","20290015"
"III","Luneth","Wind Flash (Luneth)","LBG","PHY","Single enemy","Physical","3.36","Wind, NE","0.01","One single attack (3.36) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Wind Damage Up","ATK +10","Dragoon's Helm (III)","風閃【ルーネス】","20290018"
"III","Cloud of Darkness","Fabled Particle Beam","LBO","BLK","Single enemy","Magical","120.00","Dark","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Thorned Mace (III)","虚構式 波動砲","22670013"
"III","Cloud of Darkness","Spiraling Flash (CoD)","LBG","BLK","Single enemy","Magical","14.80","Dark, Lightning, NE","0.01","Ten single attacks (1.48 each), causes [Imperil Lightning 40% (5s)] and [Imperil Dark 40% (5s)]","N","Lowest HP% enemy","0","Dark Damage Up, Lightning Damage Up","MAG +10","Sleipnir's Tail (III)"," 降閃【暗闇の雲】","22670022"
"III","Cloud of Darkness","Woven Bond: Cloud of Darkness","LBC","BLK","Single enemy","Magical","26.00","Dark, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Cloud of Darkness)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Assault (III)","紡絆・暗闇の雲闇","22670026"
"III","Onion Knight","Water Flash (Onion Knight)","LBG","BLK","Single enemy","Magical","7.50","Water, NE","0.01","One single attack (7.50) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Water Damage Up","MAG +10","Serpent Sword+ (III)","水閃【オニオンナイト】","22460022"
"III","Onion Knight","Spectral Onion","LBO","BLK","Single enemy","Magical","96.00","Wind, Water, Fire, Earth","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Grand Mace (III)","オニオンスペクトル","22460032"
"III","Onion Knight","Woven Bond: Onion Knight (Fire)","LBC","BLK","Single enemy","Magical","26.00","Fire, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit, grants [Chain Force Mode (Onion Knight - Fire)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Quest Bracelet (III)","紡絆・オニオンナイト炎","22460048"
"III","Refia","Maiden's Hammerblow","LBO","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ironside (III)","乙女の鉄槌","20430016"
"III","Refia","Bond Flash: Refia","LBG","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies, and grants [ATK and MND +30%, DEF and RES +25% (25s)] to all allies if there are 4+ monks in the party","N","All allies","250","Prismatic Damage Up","ATK +10","Lufenian Claw (III)","命閃【レフィア】","20430023"
"III","Desch","Owen's Will","LBO","BLK","Single enemy","Magical","120.00","Lightning","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Antiquity Blade (III)","オーエンの意志","22230016"
"III","Desch","Woven Bond: Desch (Lightning)","LBC","BLK","Single enemy","Magical","26.00","Lightning, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Lightning Chain (max 150, field +0%) or adds 25 to the current Lightning Chain maximum limit, grants [Chain Force Mode (Desch - Lightning)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Lohengrin (III)","紡絆・デッシュ雷","22230025"
"III","Ingus","Woven Bond: Ingus (Earth)","LBC","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit, grants [Chain Force Mode (Ingus)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Crystal Mail (III)","紡絆・イングズ地","20800023"
"III","Ingus","Titan Impact","LBO","PHY","Single enemy","Physical","40.00","Earth, NE","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Gaia Hammer (III)","ティターンインパクト","20800024"
"III","Arc","Woven Bond: Arc","LBC","NAT","Single enemy","Hybrid","-","Holy, NE","0.01","Ten single hybrid attacks (2.70/2.60 each) capped at 19999, element of entry damage changes to Water/NE if the user has any Attach Water, activates III Chain (max 150, field +0%) or adds 25 to the current III Chain maximum limit, grants [Chain Force Mode (Arc)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","El Dorado (III)","紡絆・アルクゥ","20420022"
"III","Arc","Seaglow Bible","LBO","NAT","Single enemy","Hybrid","-","Holy, Water","2.50","Four single hybrid attacks (3.00 or 3.17 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Artemis Bow (III)","水光のバイブル","20420026"
"III","Arc","Woven Bond: Arc (Water)","LBC","NAT","Single enemy","Hybrid","-","Water, NE","0.01","Ten single hybrid attacks (2.60/2.70 each) capped at 19999, activates Water Chain (max 150, field +0%) or adds 25 to the current Water Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode (Arc  - Water)] and [Instant ATB 1] to the user
","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Starlight Robe (III)","紡絆・アルクゥ水","20420030"
"III","Arc","Woven Bond: Arc (Holy)","LBC","NAT","Single enemy","Hybrid","","Holy, NE","0.01","Ten single hybrid attacks (2.60/2.70 each) capped at 19999, activates Holy Chain (max 150, field +0%) or adds 25 to the current Holy Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Arc (Holy)] and [Instant ATB 1] to the user
","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Arc's Guise (III)","紡絆・アルクゥ聖","20420031"
"III","Aria","Woven Bond: Aria","LBC","WHT","Single enemy","Magical","27.00","Water, NE","0.01","Ten single attacks (2.70 each) capped at 19999, activates III Chain (max 150, field +0%) or adds 25 to the current III Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Aria] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Dream Harp (III)","紡絆・エリア","22960014"
"IV","Cecil (Paladin)","Sacred Charge","LBO","NAT","Single enemy","Hybrid","-","Holy","2.50","Four single hybrid attacks (1.00 or 3.17 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF/RES, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Guard of Avalon (IV)","セイクリッドチャージ","20070021"
"IV","Cecil (Paladin)","Woven Bond: Cecil (Paladin) (Holy)","LBC","NAT","Single enemy","Hybrid","8.00","Holy, NE","0.01","Ten single hybrid attacks (0.80/2.70 each) capped at 19999, activates Holy Chain (max 150, field +0%) or adds 25 to the current Holy Chain maximum limit, grants [Chain Force Mode (Cecil (Paladin))] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Force Sabre (IV)","紡絆・セシル聖","20070034"
"IV","Cecil (Dark Knight)","Abyssal Onslaught","LBO","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Medical Shield (IV)","アビスチャージ","20060021"
"IV","Cecil (Dark Knight)","Woven Bond: Cecil (Dark Knight) (Dark)","LBC","PHY","Single enemy","Physical","8.00","Dark","2.50","Ten single attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit, grants [Chain Force Mode: Cecil (Dark Knight) (Dark)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Venetian Shield  (IV)","紡絆・セシル闇","20060026"
"IV","Edge","Eblan Lotus","LBO","NAT","Single enemy","Hybrid","-","Water, Fire, Lightning","2.50","Four single hybrid attacks (1.00 or 6.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Chakram (IV)","エブラーナ流・蓮華","20980016"
"IV","Edge","Woven Bond: Edge","LBC","NAT","Single enemy","Hybrid","-","Water, NE","0.01","Ten single hybrid attacks (0.80/390.00 each) capped at 19999, element of entry damage changes from Water/NE to Fire/NE or Lightning/NE if the user has any Attach Fire or Attach Lightning, activates IV Chain (max 150, field +0%) or adds 25 to the current IV Chain maximum limit, grants [Chain Force Mode (Edge)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Water Blade (IV)","紡絆・エッジ","20980023"
"IV","Palom","Lightning Raiment (Palom)","LBG","NAT","All allies","","","","0.01","Grants [Attach Lightning]","N","All allies","250","Lighting Damage Up","MAG +10","Palom's Guise (IV)","雷装【パロム】","22210010"
"IV","Palom","Triple Crush","LBO","BLK","Single enemy","Magical","96.00","Fire, Lightning, Ice","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Golden Staff (IV)","トリプルクラッシュ","22210012"
"IV","Palom","Woven Bond: Palom (Lightning)","LBC","BLK","Single enemy","Magical","26.00","Lightning, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Lightning Chain (max 150, field +0%) or adds 25 to the current Lightning Chain maximum limit, grants [Chain Force Mode (Palom Lightning)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Empress Kharna (IV)","紡絆・パロム雷","22210025"
"IV","Rydia","Eidolon Confidante","LBO","SUM","Single enemy","Magical","96.00","Water, Holy, Earth","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Star Whip (IV)","幻獣に愛されし少女","20090019"
"IV","Rydia","Water Raiment (Rydia)","LBG","NAT","All allies","","","","0.01","Grants [Attach Water]","N","All allies","250","Water Damage Up","MAG +10","Exorcist's Gown (IV)","水装【リディア】","20090021"
"IV","Rydia","Guardian Titan","LBGS","NAT","Self","","","","0.01","Summons Titan for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Earth 3 with Stacking] and [Damage Cap +20000] to Titan","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Beastmaster (IV)","Gタイタン","20090026"
"IV","Rydia","Woven Bond: Rydia (Earth)","LBC","SUM","Single enemy","Magical","26.00","Earth, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit, grants [Chain Force Mode (Rydia - Earth)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Diamond Hairpin (IV)","紡絆・リディア地","20090039"
"IV","Rydia","Woven Bond: Rydia (Water)","LBC","","","","","","","Ten single attacks (2.60 each) capped at 19999, activates Water Chain (max 150, field +0%) or adds 25 to the current Water Chain maximum limit, grants [Chain Force Mode (Rydia - Water)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Lufenian Robes (IV)","紡絆・リディア水","20090045"
"IV","Rydia","Woven Bond: Rydia","LBC","SUM","Single enemy","Magical","26.00","Water, Holy, Earth","0.01","Ten single attacks (2.60 each) capped at 19999, activates IV Chain (max 150, field +0%) or adds 25 to the current IV Chain maximum limit, grants [Chain Force Mode: Rydia] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Force Rod (IV)","(紡絆・リディア","20090048"
"IV","Kain","Lightning Raiment (Kain)","LBG","NAT","All allies","","","","0.01","Grants [Attach Lightning]","N","All allies","250","Lighting Damage Up","ATK +10","Magic Lance (IV)","雷装【カイン】","20080022"
"IV","Kain","Dual Dragon Dive","LBO","PHY","Single enemy","Physical","32.00","Lightning, Dark","2.50","Four single ranged jump attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Dragon Wrist (IV)","デュアルドラゴンダイブ","20080030"
"IV","Kain","Woven Bond: Kain (Lightning)","LBC","PHY","Single enemy","Physical","8.00","Lightning, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Lightning Chain (max 150, field +0%) or adds 25 to the current Lightning Chain maximum limit, grants [Chain Force Mode (Kain - Lightning)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Lance of Ordeals (IV)","紡絆・カイン雷","20080035"
