"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Archivist's Teachings Follow-Up","Archivist's Teachings","BLK","Single enemy","Magical","19.50","Holy, Fire, Ice, Lightning, NE","0.01","Ten single attacks (1.95 each), grants [Buff Holy 10% (15s)], [Buff Fire 10% (15s)], [Buff Ice 10% (15s)] and [Buff Lightning 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","30541205"
"Marine Wave Follow-Up","Marine Wave 1","BLK","All enemies","Magical","6.66","Water, NE","0.01","One single attack (6.66), causes [Debuff Fire 10% (15s)]","Y","All enemies","0","Black Magic","30541068"
"Marine Wave Follow-Up","Marine Wave 2","BLK","Single enemy","Magical","8.16","Water, NE","0.01","Four single attacks (2.04 each), grants [Buff Water 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Black Magic","30541069"
"Striking Reminiscence Follow-Up","Striking Reminiscence","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single ranged hybrid attacks (4.52 or 18.64), ignores DEF and RES, 100% hit rate","Y","Lowest HP% enemy","0","Support","31540486"
"Our Bond Follow-Up","Our Bond","PHY","Single enemy","Physical","3.52","Earth, Holy, NE","0.01","One single attack (3.52) capped at 99999, 3.77 multiplier if Tyro, Elarra or Wedge are alive and 2+ Core/Beyond allies are alive, 50%/100% additional critical chance if 0-1/2+ Core/Beyond allies are alive, grants [High Quick Cast 1] to the user if 4+ Core/Beyond allies are alive, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31540628"
"Wondrous Mirage Follow-Up","Wondrous Mirage","NAT","Single enemy","Hybrid","-","Wind, NE","0.01","Six single hybrid ranged attacks (0.32 or 1.32 each), 100% hit rate, causes [Imperil Wind 10% (15s)], grants [Buff Wind 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","31540626"
"Historical Covenant Follow-Up","Historical Covenant","BLK","Single enemy","Magical","7.50","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","1/4 single attacks (7.50 or 2.04 each) capped at 99999/9999 every 1+2n/2+2n uses, grants [Quick Cast 1] to the user every 2+2n uses","Y","Lowest HP% enemy","0","Black Magic","31541444"
"Archive Authority Mode","Magical Surfing","BLK","Single enemy","Magical","9.99","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single attack (9.99/10.99) capped at 99999 if 1+ of Tyro, Elarra, Biggs or Wedge aren't/are alive","Y","Lowest HP% enemy","0","Black Magic","31541448"
"Dual Awoken Record Keeper Mode I: Tyro","Dual Clearsight Grimoire","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","Ten single hybrid attacks (0.12/0.19/0.26/0.32/0.39 or 0.41/0.64/0.87/1.10/1.33 each) at triggering ability rank 1/2/3/4/5, 100% hit rate","Y","Lowest HP% enemy","0","Support","31541436"
"Dual Awoken Record Keeper Mode II: Tyro","Dual Protection Grimoire","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single hybrid attacks (5.92 or 24.78) capped at 9999/19999 if 2+ Core/Beyond allies aren't/are alive, ignores DEF and RES, 100% hit rate, grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Support","31541453"
"Dual Awoken Wind Mode II (Wedge)","Dual Wonder Cyclone","NAT","Single enemy","Hybrid","-","Wind, NE","0.01","Six single hybrid attacks (0.48 or 1.98 each), 100% hit rate, grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Black Magic","31541440"
"Apprentice Historian Mode","Nostalgic Grimoire","NAT","Single enemy","","-","-","0.01","One single attack that deals 99999 damage, causes [Imperil Prismatic 10% (5s)], removes Apprentice Historian Mode after triggering two times","Y","Lowest HP% enemy","0","Support","31541584"
"Dual Awoken Record Seeker Mode I (Tyro)","Dual Shot Down","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single hybrid attack (3.17 or 7.06) capped at 99999","Y","Lowest HP% enemy","0","Support","31542130"
"Awoken Height of Evil Mode","Delta Storm","NAT","Single enemy","Hybrid","-","Holy, Dark, NE","0.01","Six single hybrid attacks (2.41 or 2.45), [Buff Holy 10% (15s)] and [Buff Dark 10% (15s)] to the user","Y","Lowest HP% enemy","0","Darkness","31542418"
"Zenith Mode: Ace (Fire)","Spirit Attack: Ace ","BLK","Single enemy","Magical","10.80","Fire, NE","0.01","Four single attacks (2.70 each), 3.05 if exploiting Fire weakness","Y","Lowest HP% enemy","0","Black Magic","31542488"
"Zenith Mode: Trey (Fire/Ice/Water)","Spirit Attack: Trey","PHY","Single enemy","Physical","5.19","Fire, Ice, Water, NE","0.01","One single attack (5.19) capped at 99999, 5.83 if exploiting Fire/Ice/Water weakness","Y","Lowest HP% enemy","0","Sharpshooter","31542490"
"Dual Awoken Soother Mode II (Deuce)","Soothing Whistle","WHT","All allies","","","","0.01","Restores HP (55), grants [Last Stand] and [Quick Cast 1]","N","All Allies","0","White Magic","31542493"
"Woven Bond: Ace (Fire)","Flame Guidance: Ace","BLK","Single enemy","Magical","5.28","Fire, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542495"
"Woven Bond: Trey","Bond Guidance: Trey","PHY","Single enemy","Physical","1.24","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.31 each), 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","31542497"
"Zenith Mode: FuSoYa (Holy)","Spirit Attack: FuSoYa (Holy)","NAT","Single enemy","","-","-","0.01","Grants [Buff Holy 10% (5s)] and [Quick Cast 1] to all allies","N","All Allies","0","White Magic","31542525"
"Zenith Mode: Palom (Lightning)","Spirit Attack: Palom (Lightning)","NAT","Self","","","","0.01","Grants [Buff Lightning 20% (15s)], [Buff Fire 20% (15s)], [Buff Ice 20% (15s)] and [Black Magic Quick Cast 3] to the user","N","Self","0","White Magic","31542527"
"Chain Force Mode (FuSoYa Holy)","Holy Guidance: FuSoYa","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All Allies","0","White Magic","31542538"
"Chain Force Mode (Palom Lightning)","Thunder Guidance: Palom","BLK","Single enemy","Magical","7.80","Lightning, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Lightning Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31542540"
"Zenith Mode: Fang (Dragoon)","Spirit Attack: Fang (Dragoon)","NAT","Self","","","","0.01","Grants [Dragoon Instant Cast 2] and [Dragoon +30% Boost 2] to the user","N","Self","0","Special","31542610"
"Dual Awoken Dragoon Mode I (Fang v2)","Dual Bahamut Drive","PHY","Single enemy","Physical","5.28","Wind, NE","0.01","One single ranged jump attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Dragoon","31542611"
"Dual Awoken Dragoon Mode II (Fang v2)","Dual Max Voltage","NAT","All allies","","","","0.01","Grants [100% Critical 3] to all allies","N","All Allies","0","Special","31542612"
"Zenith Mode: Ricard (Wind/Lightning/Water/Dark)","Spirit Attack: Ricard (Wind/Lightning/Water/Dark)","NAT","All allies","","","","0.01","Grants [Dragoon Dualcast 1], [Dragoon +30% Boost 1], [Dragoon Instant Cast 1], [No Air Time 1] to all allies if 4+ Dragoon members alive, Grants [Dragoon Dualcast 1], [Dragoon +30% Boost 1], [Dragoon Instant Cast 1] to the user if 0-3 Dragoon members alive","N","All Allies","0","Special","31542613"
"Dual Awoken Deist Dragoon Mode II (Ricard)","Dual Dragon Knight's Onslaught","NAT","All allies","","","","0.01","Grants [Jump +50% Boost 1] to all allies","N","All Allies","0","Special","31542614"
"Dragon Thrust","Dragon Thrust","PHY","Single enemy","Physical","?","Wind, Lightning, Water, Dark, NE","0.01","Four singled ranged jump attacks (? each)","Y","Lowest HP% enemy","0","Dragoon",""
"Chain Force Mode (Raines - Dark)","Dark Guidance: Raines","BLK","Single enemy","Magical","7.80","Dark, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Dark Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31542626"
"Break Javelin Follow-Up","Break Javelin","PHY","Single enemy","Physical","1.96","Ice, Water, NE","0.01","Four single attacks (0.49 each), causes [ATK and DEF -50% (8s)]/[DEF and RES -50% (8s)] after 1+2n/2+2n uses, 100% hit rate","Y","Lowest HP% enemy","0","Shooter","31542628"
"Chain Force Mode (Noel - Ice)","Ice Guidance: Noel","PHY","Single enemy","Physical","1.95","Ice, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with uses, grants [Ice Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Shooter","31542633"
"Zenith Mode: Kefka (Poison)","Spirit Attack: Kefka (Poison)","BLK","Single enemy","Magical","21.28","Dark, Poison, NE","0.01","Eight single attacks (2.66/3.01 each), higher multiplier if exploiting Poison weakness, capped at 19999, grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Darkness","31542636"
"Zenith Mode: Leila (Poison)","Spirit Attack: Leila (Poison)","NAT","Self","","","","0.01","Grants [100% Critical 3] and [Critical Damage +20% 3] to the user","N","Self","0","Special","31542641"
"Chain Force Mode (Leila - Poison)","Poison Guidance: Leila","PHY","Single enemy","Physical","1.28","Poison, NE","0.01","Four single attacks (0.32 each)","Y","Lowest HP% enemy","0","Thief","31542644"
"Zenith Mode: Marcus (Wind/Poison)","Spirit Attack: Marcus (Wind/Poison)","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (5s)] and [Imperil Poison 10% (5s)], grants [Buff Wind 10% (5s)] and [Buff Poison 10% (5s)] to all allies","N","Lowest HP% enemy","0","Special","31542645"
"Chain Force Mode (Marcus - Poison)","Poison Guidance: Marcus","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies","N","All Allies","0","Special","31542648"
"Toxic Break Follow-Up","Toxic Break","PHY","Single enemy","Physical","2.68","Wind, Poison, NE","0.01","Four single attacks (0.67 each), causes [ATK and DEF -50% (8s)]/[MAG and RES -50% (8s)] every 1+2n/2+2n casts","Y","Lowest HP% enemy","0","Thief","31542650"
"Zenith Mode: Sabin (Fire)","Spirit Attack: Sabin (Fire)","NAT","Self","","","","0.01","Grants [Quick Cast 3], [Physical Blink Stacking 2], and [Phyiscal Blink 2] to the user","N","Self","0","Fire","31542653"
"Zenith Mode: Setzer (Support)","Spirit Attack: Setzer (Support)","PHY","Single enemy","Physical","0.80","Dark, NE","0.01","Randomly deals one single ranged attack (0.80 each) and causes [DEF -30% (8s), or deals two single ranged attacks (0.80 each) and causes [DEF and RES -30% (8s)], or deals six single ranged attacks (0.80 each) and causes [ATK, DEF, MAG and RES -30% (8s)]","Y","Lowest HP% enemy","0","Shooter","31542654"
"Chain Force Mode (Sabin - Fire)","Fire Guidance: Sabin","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All Allies","0","Special","31542657"
"Ton 80","Ton 80","NAT","All allies","","","","0.01","Grants [Dark +50% Boost 1] to all allies","N","All Allies","0","Special","31542661"
"Awoken High Roller Mode","Gamer Awakening Mode","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All Allies","0","Special","31542663"
"Chain Force Mode: Rubicante (Fire)","Fire Guidance: Rubicante","BLK","Single enemy","Magical","5.28","Fire, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542670"
"Chain Force Mode (Shantotto - Lightning)","Lightning Guidance: Shantotto","BLK","Single enemy","Magical","7.80","Lightning, NE","0.01","One single attack (7.80/8.20 each) capped at 99999 damage increasing with uses, grants [Lightning Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Witch","31542679"
"Zenith Mode: Gladiolus (Earth)","Spirit Attack: Gladiolus (Earth)","PHY","Single enemy","Physical","6.40","Earth, NE","0.01","Six single attacks (0.80/0.90 each) with a higher multiplier if hitting Earth weakness, grants [Earth Ability Instant Cast 3] to the user","Y","Lowest HP% enemy","0","Knight","31542680"
"Zenith Mode: Alisaie (Wind/Lightning)","Spirit Attack: Alisaie (Wind/Lightning)","BLK","Single enemy","Magical","7.80","Wind, Lightning, NE","0.01","Four single attacks (2.60 each), grants [Magical Quick Cast 1] to user","Y","Lowest HP% enemy","0","Black Magic","31542682"
"Chain Force Mode (Alisaie)","Spirit Attack: Estinien","BLK","Single enemy","Magical","7.80","Wind, Lightning, NE","0.01","One single attack (7.80/8.20), multiplier increases with uses, grants [Wind/Lightning Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31542683"
"Zenith Mode: Estinien","Spirit Attack: Estinien","PHY","Single enemy","Physical","3.36","Wind, Dark, NE","0.01","One single ranged jump attack (3.36), grants [Dragoon Instant Cast 3]/[Damage +50% Boost 1] and [Quick Cast 1] if 0-3/4+ FF14 allies are alive","Y","Lowest HP% enemy","0","Dragoon","31542684"
"Dual Awoken Ex-Azure Dragoon Mode II (Estinien)","Longan Power","NAT","All allies","","","","0.01","Causes [Imperil Prismatic 20% (15s)] and grants [ATK and MND +30%, DEF and RES +25% (8s)]/[ATK and MAG +30%, DEF and RES +25% (8s)] if 0-3/4+ FF14 allies are alive","N","All Allies","0","Dragoon","31542685"
"Zenith Mode: Bartz (Wind)","Spirit Attack: Bartz (Wind)","NAT","Self","","","","0.01","Grants [Dualcast Spellblade 1] and [Spellblade +50% Boost 1] to the user","N","Self","0","Spellblade","31542687"
"Dual Awoken Spellblade Mode II: Bartz","Master Midareuchi","PHY","Single enemy","Physical","2.72","Fire, Water, Wind, Earth, NE","0.01","Eight single attacks (0.34 each), grants [100% Critical 3] and [Critical Damage +20% 3] to the user","Y","Lowest HP% enemy","0","Spellblade","31542688"
"Zenith Mode: Fujin (Wind)","Spirit Attack: Fujin (Wind)","BLK","Single enemy","Magical","16.20","Wind, NE","0.01","Six single attacks (2.70 each), 3.05 if exploiting a weakness to wind, capped at 19999","Y","Lowest HP% enemy","0","Black Magic","31542689"
"Chain Force Mode (Fujin - Wind)","Wind Guidance: Fujin","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542690"
"Zenith Mode: Tyro","Spirit Attack: Tyro","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","Four single hybrid ranged attacks (0.75 or 2.41 each), grants [Quick Cast 1] to all allies, grants [Fire +30% Boost 1]/[Ice +30% Boost 1]/[Lightning +30% Boost 1]/[Earth +30% Boost 1]/[Wind +30% Boost 1]/[Water +30% Boost 1]/[Holy +30% Boost 1]/[Dark +30% Boost 1]/[Poison +30% Boost 1] to the user if the user has Attach Fire/Ice/Lightning/Earth/Wind/Water/Holy/Dark/Poison ","N","Lowest HP% enemy","0","Support","31542691"
"Zenith Mode: Lenna (White/Dancer)","Spirit Attack: Lenna","WHT","All allies","","","","0.01","Restores HP (25) to all allies","N","All Allies","0","White Magic","31542692"
"Zenith Mode: Cloud (Wind)","Spirit Attack: Cloud (Wind)","NAT","Self","","","","0.01","Grants [Wind Ability +50% Boost 1] to the user","N","Self","0","Spellblade","31542693"
"Chain Force Mode (Cloud - Wind)","Wind Guidance: Cloud","NAT","Self","","","","0.01","Grants [Buff Wind 30% (5s)] and [Quick Cast 1] to the user","N","Self","0","Spellblade","31542694"
"Zenith Mode: Terra (Fire)","Spirit Attack: Terra (Fire)","NAT","Single enemy","Magical","10.80","Fire, NE","0.01","4 single attacks (2.70/3.05 each), higher multiplier if exploiting Fire weakness, grants [Buff Fire 10% (5s)] to user","Y","Lowest HP% enemy","0","Black Magic","31542695"
"Chain Force Mode (Terra - Fire)","Fire Guidance: Terra","BLK","Single enemy","Magical","5.28","Fire, NE","0.01","Four single target attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542696"
"Dual Awoken Amnesiac Mode I (Terra)","Chaos Nova","BLK","Single enemy","Magical","7.65","Fire, Wind, NE","0.01","Five single attacks (1.53/1.69 each), higher multiplier if exploiting Fire/Wind weakness","Y","Lowest HP% enemy","0","Black Magic","31542697"
"Zenith Mode: Zack (Wind)","Spirit Attack: Zack (Wind)","PHY","Single enemy","Physical","3.36","Wind, NE","0.01","One single attack (3.36) capped at 99999, grants [100% Critical 3] to all allies","Y","Lowest HP% enemy","0","Celerity","31542698"
"Grip of Chaos Follow-Up","Grip of Chaos","PHY","Single enemy","Physical","1.82","Dark, NE","0.01","Two single attacks (0.91 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30549061"
"Damage of Chaos Impact Follow-Up","Chaos Impact","PHY","Single enemy","Physical","2.20","Dark, NE","0.01","Five single attacks (0.32/0.38/0.44 each) if the user has Heavy Charge 0/1/2","Y","Lowest HP% enemy","0","Heavy","30549197"
"Flurry Follow-Up","Follow-Up Flurry","PHY","Single enemy","Physical","2.16","-","0.01","Four single attacks (0.54 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548022"
"Tceles Nottub B Follow-Up","Tceles Nottub B","BLK","Single enemy","Magical","8.32","Fire, Ice, Lightning, NE","0.01","Four single attacks (2.08 each)","Y","Lowest HP% enemy","0","Witch","30541014"
"Awash Follow-Up","Awash","BLK","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541060"
"Gear Storm Follow-Up","Gear Storm","PHY","Single enemy","Physical","2.28","Wind, Poison, NE","0.01","Six single attacks (0.32/0.35/0.38 each) scaling with Storm Raider level","Y","Lowest HP% enemy","0","Thief","30548437"
"Stealthy Prowl Follow-Up","Stealthy Prowl","PHY","Single enemy","Physical","4.00","Wind, Poison, NE","0.01","Eight single attacks (0.50 each) if the user has Haste (100% hit rate if triggered), grants [Quick Cast 2] to all allies in the character's row","Y","Lowest HP% enemy","0","Thief","30548436"
"Awoken Cornelian Princess","Healing Voice","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","30542267"
"Timely Encore Follow-Up","Timely Encore","NAT","All allies","","","","0.01","Restores HP (25), grants [Quick Cast 1]","N","All allies","0","Dancer","30542465"
"Warrior's Fate Mode","Blast of Light","PHY","Single enemy","Physical","5.20","Holy, NE","0.01","One single attack (5.20) capped at 99999, 100% hit rate, grants [Dual Blink 1] to the user","Y","Lowest HP% enemy","0","Knight","30544411"
"Reborn Mode","Chaos Reborn","PHY","Single enemy","Physical","1.92","Dark, NE","0.01","Six single attacks (0.32 each), grants [Chaos Reborn +15% Boost]/[Chaos Reborn +30% Boost]/[Chaos Reborn +50% Boost] after 1/2/3 casts, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","31540294"
"Poisoner Thieves Follow-Up","Poisoner Thieves","PHY","Single enemy","Physical","1.95","Wind, Poison, NE","0.01","Five single attacks (0.39 each), 100% hit rate, grants [Buff Poison 10% (15s)] to the user","Y","Lowest HP% enemy","0","Thief","31541108"
"Frenzied Monk Mode","Ballistic Fist","PHY","Single enemy","Physical","4.45","Earth, Fire, Lightning, NE","0.01","One single attack (4.45), ignores DEF, 100% hit rate, causes Martial Will -1 to the user","Y","Lowest HP% enemy","0","Monk","31541155"
"Royal Talent Follow-Up","Royal Talent (White Magic)","WHT","Single ally","","","","0.01","Restores HP (105), grants [Damage Cap +10000 1] to the user","N","Lowest HP% ally","0","White Magic","31541301"
"Royal Talent Follow-Up","Royal Talent (Dancer)","NAT","All allies","","","","0.01","Grants [HP Stock (1500)]","N","All allies","0","Dancer","31541302"
"Dual Awoken Cosmic Warrior Mode II (Wol)","Dual Heavy Break","PHY","Single enemy","Physical","4.04","Earth, Holy, NE","0.01","Four single attacks (1.01), causes [Imperil Earth 10% (15s)] and [Imperil Holy 10% (15s)]","Y","Lowest HP% enemy","0","Knight","31541374"
"Awoken Slugfest","Ironfist Combo","PHY","Single enemy","Physical","4.20","Earth, Fire, Lightning, NE","0.01","Six single attacks (0.70 each), grants [100% Critical 1] to the user every second use","Y","Lowest HP% enemy","0","Monk","31541789"
"Chain Force Mode (Meia)","Water Guidance: Meia","BLK","Single enemy","Magical","8.20","Water, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Water Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541923"
"Dual Awoken Cornelian Princess Mode I (Sarah)","Dual Healing Song","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability, grants [Quick Cast 1] to all allies every second cast if Warrior of Light or Garland are alive","N","All allies","0","White Magic","31542082"
"Dual Awoken Cornelian Princess Mode II (Sarah)","Dual Healing Warsong","WHT","All allies","","","","0.01","Restores HP (55), grants [Regenga] and [Quick Cast 1]","N","All allies","0","White Magic","31542083"
"Chain Force Mode (Warrior of Light)","Holy Guidance: Warrior of Light","PHY","Single enemy","Physical","2.05","Holy, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with uses, grants [Holy Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Knight","31542085"
"Anguished Rose Follow-Up","Anguished Rose","BLK","Single enemy","Magical","7.80","Earth, Dark, NE","0.01","Four single attacks (1.95 each)","Y","Lowest HP% enemy","0","Black Magic","30541049"
"Hero's Barrage Follow-Up","Hero's Barrage","PHY","Single enemy","Physical","1.80","Ice, NE","0.01","Four single attacks (0.45 each)","Y","Lowest HP% enemy","0","Monk","30548321"
"Kaus Australis Follow-Up","Kaus Australis","BLK","Single enemy","Magical","16.40","Earth, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541147"
"Resist Break Follow-Up","Earth Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541201"
"Resist Break Follow-Up","Wind Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541202"
"Resist Break Follow-Up","Dark Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Dark 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541203"
"Sinister Incursion Follow-Up","Sinister Incursion 1","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Darkness","30541579"
"Sinister Incursion Follow-Up","Sinister Incursion 2","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each), grants [Buff Dark 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Darkness","30541579"
"Beloved Homeland Follow-Up","Beloved Homeland","NAT","Single enemy","Hybrid","-","Fire, NE","0.01","Four single ranged hybrid attacks (0.28 or 1.00 each), grants [PHY +30% Boost 1] or [Magical +30% Boost 1] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545089"
"Beloved Homeland Follow-Up","Lost Nation","NAT","Single enemy","Hybrid","-","Fire, NE","0.01","Four single ranged hybrid attacks (0.28 or 1.00 each), causes [ATK and DEF -50% (15s)]/[MAG and RES -50% (15s)] after 1+2n/2+2n uses, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545090"
"Lifelong Devotion Follow-Up","Lifelong Devotion","NAT","Self","","","","0.01","Grants [Attach Fire] and [Fire +30% Boost 1]/[Fire +50% Boost 1]/[Fire +70% Boost 1] to the user if 0/1/2 of Gordon or Hilda are alive","N","Self","0","Special","30545092"
"Vengeful Earth Follow-Up","Vengeful Earth","PHY","Single enemy","Physical","1.80","Earth, NE","0.01","One single attack (1.80), causes [Imperil Earth 10% (15s)] and [DEF, RES and MND -70% (8s)], 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540031"
"Gaia Stamp Follow-Up","Gaia Stamp","PHY","Single enemy","Physical","?","Earth, NE","0.01","Four single attacks (? each), grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Monk","31540032"
"Dim Spray Follow-Up","Dim Spray","PHY","Single enemy","Physical","2.00","Water, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","31540123"
"Marine Edge Follow-Up","Marine Edge","PHY","Single enemy","Physical","1.95","Water, NE","0.01","Five single attacks (0.39 each), 100% hit rate, causes [Imperil Water 10% (15s)] every second use","Y","Lowest HP% enemy","0","Thief","31540118"
"Dismal Tempest Follow-Up","Dismal Tempest","BLK","Single enemy","Magical","11.07","Dark, Earth, Wind, NE","0.01","One single attack (11.07) capped at 99999, causes [Imperil Dark 10% (15s)], [Imperil Earth 10% (15s)] and [Imperil Wind 10% (15s)]","Y","Lowest HP% enemy","0","Black Magic","31540485"
"Chain of Arms Mode","Plummet","PHY","Single enemy","Physical","5.28","Ice, NE","0.01","One single attack (5.28) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31540909"
