"Realm","Character","Img","Name","Tier","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Points","Mastery Bonus","Honing Effects","Relic","Name (JP)","ID"
"Core","Tyro","","Arbiter's Tome","USB","NAT","All allies","","","","0.01","Grants [Haste] and [50% Critical] to all allies, Grants [High Quick Cast] and [Judge's Apocrypha] to the user","N","All allies","500","ATK +10","","Arbiter's Tome (Core)","禁書「裁定者」","20140014"
"Core","Tyro","","Purifying Grimoire","Glint","NAT","All allies","","","","0.01","Restores 2000 HP and removes negative effects to all allies","N","All allies","250","ATK +10","","Purifying Grimoire (Core)","浄化のグリモア","20140015"
"Core","Tyro","","Link of Light","AOSB","PHY","Single enemy","Physical","15.60","Holy, NE","2.50","Three single ranged attacks (5.20 each) capped at 99999","N","Lowest HP% enemy","750","ATK +10","Damage Up, SB Gauge Down","Lustrous Shield (Core)","リンク・オブ・ライト","20140016"
"Core","Tyro","","Gigaslash","AOSB","PHY","All enemies","Physical","20.16","Lightning","2.50","Three group ranged attacks (6.72 each) capped at 99999","N","All enemies","750","ATK +10","Damage Up, SB Gauge Down","Erdrick's Sword (Core)","ギガスラッシュ","20140017"
"Core","Tyro","","Fantasy Grimoire Vol. I","AASB","NAT","All allies","","","","0.01","Grants [50% Critical], [Haste] and [ATK and DEF +30% (25s)] to all allies, Grants [Awoken Keeper Mode] and [Unraveled History Follow-Up] to the user","N","All allies","500","ATK +10","Stat Boon, Damage Reduction Barrier, Extra Usage","Fantasy Grimoire Vol. I (Core)","幻想のグリモア 巻ノ壱","20140018"
"Core","Tyro","","Triple Phase","AOSB","PHY","Single enemy","Physical","15.60","Holy, Dark","2.50","Three single attacks (5.20 each) capped at 99999","N","Lowest HP% enemy","750","ATK +10","Damage Up, SB Gauge Down","Mythgraven Blade (Core)","トリプルフェイズ","20140020"
"Core","Tyro","","Fantasy Grimoire Vol. II","SASB","NAT","Self","","","","0.01","Grants [ATK, DEF, MAG, RES and MND +10% (25s)]/[ATK, DEF, MAG, RES and MND +20% (25s)]/[ATK, DEF, MAG, RES and MND +30% (25s)]/[ATK, DEF, MAG, RES and MND +40% (25s)]/[ATK, DEF, MAG, RES and MND +50% (25s)] if 1/2/3/4/5+ allies are alive, [Conditional Attach Element From Party], [Prismatic +50% Boost], [Synchro Mode] and [Damage Cap +10000] to the user","N","Self","500","","Stat Boon, Dual Blink 1","Fantasy Grimoire Vol. II (Core)","幻想のグリモア 巻ノ弐","20140021"
"Core","Tyro","","True Sentinel's Grimoire","Glint+","NAT","All allies","","","","0.01","Grants [DEF and RES +200% (25s)] to all allies","N","All allies","0","ATK +5, MAG +5","","True Sentinel's Grimoire (Core)","真・鉄壁のグリモア","20140022"
"Core","Tyro","","Our Fantasy Unbound (Engaged)","ADSB","NAT","Self","","","","0.01","Grants [ATK, DEF, MAG, RES and MND +10% (25s)]/[ATK, DEF, MAG, RES and MND +20% (25s)]/[ATK, DEF, MAG, RES and MND +30% (25s)]/[ATK, DEF, MAG, RES and MND +40% (25s)]/[ATK, DEF, MAG, RES and MND +50% (25s)] if 1/2/3/4/5+ allies are alive, [Conditional Attach Element From Party], [Prismatic +50% Boost], [Damage Cap +10000], [Striking Reminiscence Follow-Up], [Our Fantasy Unbound Ability Tracker], [Our Fantasy Unbound Level] and [Arcane Dyad Empowered: Tyro] to the user","N","Self","0","","Stat Boon","Fantastic Compendium (Core)","ボクたちの最終幻想","20140024"
"Core","Tyro","","Our Fantasy Unbound","ADSB","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","2.50","Twenty single hybrid ranged attacks (1.00/1.10/1.20 or 3.15/3.50/3.85 each) capped at 9999/19999/29999, followed by one single attack (10.00/11.00/12.00 or 34.60/38.06/41.52) capped at 99999 at Our Fantasy Unbound level 0/1/2, removes Arcane Dyad Empowered: Tyro from the user","N","Lowest HP% enemy","750","","Cast Time Down, SB Gauge Down","Fantastic Compendium (Core)","ボクたちの最終幻想","20140024"
"Core","Tyro","","Awoken Arbiter's Apocrypha","DASB","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","2.50","Seven single hybrid attacks (0.90 or 3.05 each) capped at 19999, Grants [ATK, DEF, MAG, RES and MND +50% (25s)], [Conditional Attach Element From Party], [Damage Cap +10000], [Dual Awoken Record Keeper Mode I: Tyro] and [Ability Resonance +3% Boost] to the user, Grants [Ability Resonance +2% Boost] to all Core or Beyond allies","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Arbiter's Apocrypha+ (Core)","覚醒禁書「調停者」","20140029"
"Core","Tyro","","Awoken Arbiter's Apocrypha (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Record Keeper Mode II: Tyro] to the user, Grants [Weakness +15% Boost 1]/[ATK, DEF, MAG and RES +15% (25s)], [Weakness +50% Boost 1] and [Instant Cast 1] to all allies if there are 0-3/4+ Core or Beyond allies, removes [Dual Awoken Record Keeper Mode I: Tyro]","N","Self","0","","","Arbiter's Apocrypha+ (Core)","覚醒禁書「調停者」","20140029"
"Core","Tyro","","Bond (Tyro)","CSB+","NAT","All allies","","","","0.01","Activates Core or Beyond Chain (max 150, field +50%), Grants [ATK and MAG +30% (25s)] and [Quick Cast 1] to all allies, Grants [Linked Burst Mode Core and Beyond] and [Instant Cast 1] to the user","N","All allies","0","","Damage Reduction Barrier, ATB Reduction","Reminiscence Grimoire (Core)","絆【デシ】","20140031"
"Core","Tyro","","Fantasy Grimoire Vol. III","AASB","NAT","All allies","","","","0.01","Grants [ATK, DEF, MAG and RES +30% (25s)] and [High Quick Cast 1] to all allies, Grants [Buff Prismatic 30% (15s)] to all allies if there are 4+ allies with realm synergy, Grants [Awoken Scholar's Calling] to the user, Grants [Apprentice Historian Mode] to the user if there are 4+ allies with realm synergy","N","All allies","500","ATK +10","Stat Boon, Damage Reduction Barrier, Extra Usage","Fantasy Grimoire Vol. III (Core)","幻想のグリモア 巻ノ参","20140032"
"Core","Tyro","","Awoken Keeper's Tome","DASB","NAT","All allies","","","","0.01","Grants [Quick Cast 3], [Critical Damage +50%] and [Haste] to all allies, Grants [ATK, DEF, MAG, RES and MND +10%/20%/30%/40%/50% (25s)] to the user if 1/2/3/4/5+ party members are alive, [Conditional Attach Element From Party], [Damage Cap +10000], [Dual Awoken Record Seeker Mode I (Tyro)] and [Ability Resonance +5% Boost] to the user","N","All allies","500","","Stat Boon, Damage Reduction Barrier","Keeper's Tome+ (Core)","覚醒伝記・天衣無縫","20140034"
"Core","Tyro","","Awoken Keeper's Tome (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Record Seeker Mode II (Tyro)] to the user","N","Self","0","","","Keeper's Tome+ (Core)","覚醒伝記・天衣無縫","20140034"
"Core","Tyro","","Zenith Transcendental Conversance","ZSB","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","2.50","Seven single ranged hybrid attacks (0.90 or 3.05 each) capped at 19999, Grants [Attach Fire]/[Attach Ice]/[Attach Lightning]/[Attach Earth]/[Attach Wind]/[Attach Water]/[Attach Holy]/[Attach Dark]/[Attach Poison] based on entry element damage, [Damage Cap +10000], [Wisdom of Creation Mode], [Zenith Mode] and [Zenith Mode: Tyro] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Seeker's Testament (Core)","究極神伝「探究者」","20140036"
"Core","Tyro","","Continuous Flash: Tyro","Glint++","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 2] to all allies, Grants [200% ATB 1] to the user","N","All allies","0","","Prismatic Damage Up, Damage Reduction Barrier","Light Robe (Core)","連閃・デシ","20140037"
"Core","Warrior","","Double Attack I","Default","PHY","Single enemy","Physical","1.40","-","2.75","Two random attacks (0.70 each)","Y","Random enemies","250","","","-","ダブルアタックⅠ","20000001"
"Core","Warrior","","Double Attack II","SB","PHY","Single enemy","Physical","1.80","-","2.75","Two random attacks (0.90 each)","Y","Random enemies","250","","","Dual Tomahawk (III)","ダブルアタックⅡ","20000002"
"Core","Knight","","Knight's Shield I","Default","NAT","Self","","","","2.50","[DEF +50%] for 25 seconds","N","Self","250","","","-","ナイトの盾Ⅰ","20160001"
"Core","Knight","","Knight's Shield II","SB","NAT","Self","","","","2.50","[DEF +100%] for 25 seconds","N","Self","250","","","Diamond Helm (III)","ナイトの盾Ⅱ","20160002"
"Core","Monk","","Roundhouse","Default","PHY","All enemies","Physical","1.05","-","1.65","One group attack (1.05)","Y","All enemies","250","","","-","裏回し拳","20010003"
"Core","Red Mage","","Doublecast Fire","Default","BLK","Single enemy","Magical","2.00","Fire","2.50","Two random attacks (1.00 each)","Y","Random enemies","250","","","-","連続魔・ファイア","20170001"
"Core","Red Mage","","Doublecast Thunder","SB","BLK","Single enemy","Magical","2.00","Lightning","2.50","Two random attacks (1.00 each)","Y","Random enemies","250","","","Feathered Hat (III)","連続魔・サンダー","20170002"
"Core","Black Mage","","Darkbolt","Default","BLK","Single enemy","Magical","1.60","Dark","2.50","One single attack (1.60)","Y","Lowest HP% enemy","250","","","-","まどう","20020001"
"Core","Black Mage","","Magic Signet","SB","NAT","Self","","","","2.50","[MAG +50%] for 30 seconds","N","Self","250","","","Light Rod (III)","精霊の印","20020002"
"Core","Black Mage","","Mass Firaga","SB","BLK","All enemies","Magical","7.25","Fire","2.75","One group attack (7.25)","N","All enemies","250","","","Fire Rod (Core)","全体ファイガ","20020003"
"Core","Magus","","Black Magic Chant","Default","NAT","Self","","","","2.75","Grants [Black Magic Quick Cast 3]","Y","Self","250","","","-","黒魔法詠唱圧縮","22020001"
"Core","White Mage","","Prayer","Default","WHT","All allies","","","","2.50","Restores HP (27)","N","All allies","250","","","-","いのり","20030001"
"Core","White Mage","","Divine Signet","SB","NAT","Self","","","","2.50","[MND +50%] for 30 seconds","N","Self","250","","","Light Staff (III)","女神の印","20030002"
"Core","White Mage","","Light Divine","SB","WHT","All allies","","","","3.00","Restores HP (50)","N","All allies","250","","","Rune Staff (Core)","祈りの光","20910001"
"Core","Devout","","Panacea","Default","WHT","Single ally","","","","2.75","Removes negative effects","N","Random ally with status","250","","","-","ちりょう","20790001"
"Core","Summoner","","Call I","Default","NAT","-","","","","2.50","Randomly casts Goblin (25%), Bomb (50%) or Chocobo (25%)","Y","-","250","","","-","よびだすⅠ","20180001"
"Core","Summoner","","Call II","SB","NAT","-","","","","2.50","Randomly casts Goblin, Chocobo, Ifrit, Shiva or Ramuh","Y","-","250","","","Gaia Vest (III)","よびだすⅡ","20180002"
"Core","Samurai","","Inner Focus I","Default","NAT","Self","Magical","1.50","-","2.75","Restores HP (45), damages undeads, [ATK +15%] for 25 seconds","N","Self","250","","","-","黙想Ⅰ","20740001"
"Core","Dragoon","","High Jump","Default","PHY","Single enemy","Physical","2.10","-","3.00","One single ranged jump attack (2.10)","Y","Lowest HP% enemy","250","","","-","ハイジャンプ","20590001"
"Core","Dark Knight","","Dark Blade I","Default","PHY","Single enemy","Physical","1.70","Dark","2.50","One single ranged attack (1.70), damages the user for 10% max HP","Y","Lowest HP% enemy","250","","","-","暗黒剣Ⅰ","20340001"
"Core","Spellblade","","Magic Shell","Default","NAT","All allies","","","","2.50","[RES +30%] for 25 seconds","N","All allies","250","","","-","まほうバリア","20680001"
"Core","Viking","","Crushing Strike I","Default","PHY","Single enemy","Physical","1.70","-","3.20","One single attack (1.70)","Y","Lowest HP% enemy","250","","","-","重撃Ⅰ","20750001"
"Core","Berserker","","Berserker's Rage","Default","NAT","Single enemy","Physical","1.50","-","2.75","One single attack (1.50), grants [Rage] to the user for 2 turns","N","Lowest HP% enemy","250","","","-","狂戦士","22010001"
"Core","Ranger","","Steady Shot I","Default","PHY","Single enemy","Physical","1.40","-","2.75","One single ranged attack (1.40), 100% hit rate","Y","Lowest HP% enemy","250","","","-","狙い撃ちⅠ","20040001"
"Core","Ranger","","Steady Shot II","SB","PHY","Single enemy","Physical","2.00","-","2.75","One single ranged attack (2.00), 100% hit rate","Y","Lowest HP% enemy","250","","","Killer Bow (V)","狙い撃ちⅡ","20040002"
"Core","Ranger","","Sidewinder","SB","PHY","Single enemy","Physical","3.60","-","3.00","One single ranged attack (3.60), [ATK and MAG -40%] for 25 seconds","N","Lowest HP% enemy","250","","","Great Bow (Core)","サイドワインダー","20040003"
"Core","Thief (Core)","","Nekodamashi","Default","PHY","Single enemy","Physical","1.30","-","2.75","One single attack (1.30), causes [Stun] (20%)","N","Lowest HP% enemy","250","","","-","ねこだまし","20260003"
"Core","Bard","","Valor Minuet I","Default","NAT","All allies","","","","2.50","[ATK +20%] for 20 seconds","N","All allies","250","","","-","猛者のメヌエットⅠ","20050001"
"Core","Bard","","Valor Minuet II","SB","NAT","All allies","","","","2.50","[ATK +40%] for 20 seconds","N","All allies","250","","","Madhura Harp (III)","猛者のメヌエットⅡ","20050002"
"Core","Bard","","Advancing March","SB","NAT","All allies","","","","3.00","Grants [Haste]","N","All allies","250","","","Dream Harp (Core)","進撃マーチ","20050003"
"Core","Ninja","","Copy Image I","Default","NAT","Self","","","","3.00","Grants [Physical Blink 1] for 30 seconds","N","Self","250","","","-","分身Ⅰ","20480001"
"Core","Gladiator","","Critical I","Default","PHY","Single","Physical","2.50","-","2.50","One single attack (2.50), always deals a critical hit, 50% hit rate","Y","Highest HP% enemy","250","","","-","クリティカルⅠ","20450001"
"Core","Elarra","","Fabula Heal","Default","WHT","All allies","","","","2.50","Restores HP (37)","N","All allies","250","","","-","ファブラ・ヒール","22860003"
"Core","Elarra","","Magika Album","USB","WHT","All allies","","","","0.01","Restores HP (85), grants [Regenga] and [High Quick Cast 2]","N","All allies","500","MND +10","","Magika Album (Core)","マギカ・アルブム","23210001"
"Core","Elarra","","Magika Coat","BSB","WHT","All allies","Magical","2.00","Holy","2.50","Restores HP (85), damages undeads, grants [Last Stand], grants [Haste] and [Burst Mode] to the user","N","All allies","500","MND +10","","Elarra's Guise (Core)","マギカ・フロース","23210002"
"Core","Elarra","","Magika Orare","USB","WHT","All allies","","","","0.01","Restores HP (85), grants [Critical Damage +50%], grants [Quick Cast] to the user","N","All allies","500","MND +10","","Magika Orare (Core)","マギカ・オーラーレ","23210003"
"Core","Elarra","","Magika Pius","Glint","WHT","All allies","","","","0.01","Restores HP (55)","N","All allies","250","MND +10","","Magika Pius (Core)","マギカ・ピウス","23210004"
"Core","Elarra","","Fluffy Dance","USB","NAT","All allies","","","","0.01","Restores HP (85), causes [ATK, DEF, MAG and RES -40%] for 25 seconds to all enemies, grants [High Quick Cast 2] and [Fluffy Dance] to the user","N","All allies","500","MND +10","","Lunar Fan (Core)","ハッスルダンス","23210005"
"Core","Elarra","","Magika Phoenix","AASB","WHT","All allies","","","","0.01","Restores HP (105), removes KO [Raise: 100%], grants [Last Stand] and [Haste], grants [Awoken Magika] to the user","N","All allies","500","MND +10","Heal Boost, Stat Boon, Extra Usage","Magika Phoenix (Core)","マギカ・ポエニクス","23210006"
"Core","Elarra","","Magika Amuletum","Glint+","NAT","All allies","","","","0.01","Grants [Protect], [Shell] and [Haste]","N","All allies","0","MND +10","","Plumed Hat (Core)","マギカ・アムレートゥム","23210007"
"Core","Elarra","","Magika Animus","SASB","WHT","All allies","","","","0.01","Restores HP (105), grants [Regenga] and [High Quick Cast 2] to all allies, grants [Synchro Mode] and [Damage Cap +10000] to the user","N","All allies","500","","Heal Boost, Stat Boon","Magika Animus (Core)","マギカ・アニムス","23210016"
"Core","Elarra","","Magika Stella","SASB","WHT","All allies","","","","0.01","Restores HP (55), grants [Critical Damage +50%], grants [Synchro Mode] and [Instant Cast 1] to the user","N","All allies","500","","Heal Boost, Stat Boon","Magika Stella (Core)","マギカ・ステラ","23210021"
"Core","Elarra","","Awoken Magika Album","DASB","WHT","All allies","","","","0.01","Restores HP (105) capped at 19999, removes KO [Raise: 100%] capped at 19999, grants [Haste], [Regenga] and [High Quick Cast 2], grants [Damage Cap +10000], [Dual Awoken Magika Mode I: Elarra] and [White Magic Healing Resonance Boost +5%] to the user","N","All allies","500","","Heal Boost, Damage Reduction Barrier","Magika Album+ (Core)","覚醒マギカ・アルブム","23210024"
"Core","Elarra","","Awoken Magika Album (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Magika Mode II: Elarra]","N","Self","0","","","Magika Album+ (Core)","覚醒マギカ・アルブム","23210024"
"Core","Elarra","","Zenith Magika Orare","ZSB","WHT","All allies","","","","0.01","Restores HP (105) capped at 19999, removes KO [Raise: 100%] capped at 19999, grants [Haste], [Last Stand], [Regenga], [High Quick Cast 2] and [Natural Cure: Elarra] to all allies, grants [Damage Cap +10000], [Zenith Mode] and [Zenith Mode: Elarra] to the user","N","All allies","500","","Heal Boost, Damage Reduction Barrier","Prism Rod (Core)","究極マギカ・オーラーレ","23210026"
"Core","Elarra","","Continuous Flash: Elarra","Glint++","NAT","All allies","","","","0.01","Grants [HP Stock (3000)], [Quick Cast 2] to all allies, grants [200% ATB 1] to the user","N","All allies","0","","Stat Boost, Damage Reduction Barrier","Lilith Rod (Core)","連閃・ウララ","23210027"
"Core","Biggs","","Dispel Slash","Default","PHY","Single enemy","Physical","2.00","-","2.50","One single attack (2.00), removes positive effects","N","Lowest HP% enemy","250","","","-","オレ様流・デスペル斬","23310001"
"Core","Biggs","","Boulder Blow","USB","PHY","Single enemy","Physical","7.00","Earth, Holy, NE","2.50","Ten single attacks (0.70 each), grants [Elbow Follow-Up] and [PHY +30%/50%/70% Boost] to the user scaling with uses","N","Lowest HP% enemy","500","ATK +10","","Ancient Sword (Core)","オレ様流・聖岩裂斬","23310002"
"Core","Biggs","","Flashy Blow","Glint","PHY","Single enemy","Physical","3.12","Earth, NE","0.01","Six single attacks (0.52 each), grants [Attach Earth Stacking] and [Attach Earth] to the user","N","Lowest HP% enemy","250","ATK +10","","Coral Sword (Core)","オレ様流・気合一閃","23310003"
"Core","Biggs","","Multifists","Glint","PHY","Random enemies","Physical","4.16","Earth, NE","0.01","Eight random attacks (0.52 each), grants [PHY +30% Boost] to the user","N","Random enemies","250","ATK +10","","Warlord Fang (Core)","ばくれつけん","23310004"
"Core","Biggs","","Prime Explosion","SASB","PHY","Single enemy","Physical","9.00","Earth, Holy, NE","2.50","Fifteen single attacks (0.60 each), grants [Attach Earth 3 with Stacking], [Synchro Mode], [Damage Cap +10000] and [Hurtling Charge Mode] to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Claymore (Core)","オレ様流・ばくれつ上等","23310005"
"Core","Biggs","","Humongous Strike?","AASB","PHY","Single enemy","Physical","9.00","Earth, Holy, NE","2.50","Fifteen single attacks (0.60 each), grants [ATK, DEF, MAG and RES +30% (25s)] to all allies, grants [Attach Earth], [Awoken Earth], [Damage Cap +10000], [Our Bond Follow-Up] and [Mighty Severance] to the user","N","Lowest HP% enemy","500","ATK +10","Damage Up, Cast Time Down, Extra Usage","Defender (Core)","オレ様流・大々々切斬？","23310007"
"Core","Biggs","","Agent's Strike","Glint+","PHY","Single enemy","Physical","3.36","Earth","0.01","One single attack (3.36) capped at 99999, grants [Attach Earth 3 with Stacking] to the user","N","Lowest HP% enemy","0","ATK +10","","Tyrfing (Core)","オレ様流・特務官の一撃","23310008"
"Core","Biggs","","Awoken Boulder Blow","DASB","PHY","Single enemy","Physical","6.30","Earth, Holy, NE","2.50","Seven single attacks (0.90 each) capped at 19999, grants [Attach Earth with Stacking], [Damage Cap +10000], [Dual Awoken Earth Mode I (Biggs)] and [Earth Resonance +5% Boost] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Ragnarok (Core)","覚醒オレ様流・聖岩裂斬","23310009"
"Core","Biggs","","Awoken Boulder Blow (Dual Shift)","DASB","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Earth Mode II (Biggs)], removes [Dual Awoken Earth Mode I (Biggs)]","N","Self","0","","","Ragnarok (Core)","覚醒オレ様流・聖岩裂斬","23310009"
"Core","Biggs","","Knight of the Round (Engaged)","ADSB","NAT","Self","","","","0.01","Grants [Attach Earth with Stacking], [Instant Cast 2], [Arcane Dyad Empowered: Biggs], [Knight of the Round Damage Tracker] and [Knight of the Round Level]","N","Self","0","","Stat Boon","Excalibur (Core)","オレ様流・円卓騎士","23310011"
"Core","Biggs","","Knight of the Round","ADSB","PHY","Single enemy","Physical","30.00","Earth, Holy, NE","2.50","Twenty single attacks (1.00/1.10/1.20 each) capped at 9999/19999/29999, followed by one single attack (10.00/11.00/12.00) capped at 99999 at Knight of the Round level 0/1/2, removes Arcane Dyad Empowered: Biggs from the user","N","Lowest HP% enemy","750","","Cast Time Down, SB Gauge Down","Excalibur (Core)","オレ様流・円卓騎士","23310011"
"Core","Biggs","","Zenith Brave Slash","ZSB","PHY","Single enemy","Physical","6.30","Earth, Holy, NE","2.50","Seven single attacks (0.90 each) capped at 19999, grants [Attach Earth 3 with Stacking], [Zenith Mode], [Zenith Mode: Biggs (Dark/Earth)] and [Damage Cap +10000] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Save the Queen (Core)","究極オレ様流ブレイバー","23310014"
"Core","Biggs","","Prime Earth Splitter","AASB","PHY","Single enemy","Physical","9.00","Earth, Holy, NE","2.50","Fifteen single attacks (0.60 each), grants [Instant Cast 1] and [Buff Earth 10% (15s)]/[Instant Cast 1] and [Buff Prismatic 10% (15s)]/[Instant Cast 1], [Buff Prismatic 20% (15s)] and [Weakness +30% Boost] to all allies if 0-1/2-3/4+ Core/Beyond allies are alive, grants [Attach Earth with Stacking], [Awoken Earth] and [Damage Cap +10000] to the user","N","Lowest HP% enemy","500","ATK +10","Damage Up, Cast Time Down, Extra Usage","Ultima Shield (Core)","オレ様流・大地弾打断","23310015"
"Core","Biggs","","Prime Chivalry","Glint+","NAT","","","","","0.01","Grants [Quick Cast 3] and [Soul Break Gauge +250]","N","Self","0","ATK +10","","Kaiser Shield (Core)","オレ様流・騎士道","23310017"
"Core","Biggs","","Radiant Avalanche Raid","CASB","PHY","Single enemy","Physical","6.30","Earth, Holy, NE","2.50","Seven single attacks (0.90 each) capped at 19999, grants [Attach Earth with Stacking], [Damage Cap +10000], [Crystal Force Mode], and [Crystal Force Mode: Biggs (Earth)] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Astral Sword (Core)","耀光アバランチレイド","23310018"
"Core","Biggs","","Divine Might: Biggs","OZSB","PHY","Single enemy","Physical","51.20","Earth","2.50","Seven single attacks (2.60/2.80/2.90/3.00 each) capped at 19999/29999/49999/59999, followed by three single piercing attacks (11.00 each) capped at 99999.  Multiplier/cap requirements: 0-2/3-4/5+ Earth abilities equipped on allies/5+ Earth abilities equipped on allies and 2+ allies with Attach Earth","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Falchion (Core)","神威・ビッグス","23310019"
"Core","Biggs","","Continuous Flash: Biggs","Glint++","PHY","Single enemy","Physical","","Earth, Holy, NE","0.01","One single attack (?) with 100% critical rate capped at 199,999, Grants [Instant ATB 1] to the user","N","Lowest HP% enemy","0","","Earth Damage Up, DRB","Festive Garb (Core)","連閃・ビッグス","23310020"
"Core","Wedge","","Remedy!","Default","NAT","All allies","","","","2.50","Removes negative effects","N","All allies","250","","","-","万能薬っス！","23320001"
"Core","Wedge","","Trickster","USB","NAT","Single enemy","Hybrid","-","Wind, Lightning, NE","2.50","Ten single hybrid ranged attacks (0.70 or 1.68 each), grants [ATK and DEF +30%] or [DEF and MAG +30%] for 25 seconds, [Attach Wind] and [Aeroburst Follow-Up] to the user","N","Lowest HP% enemy","500","ATK +5, MAG +5","","Main Gauche (Core)","トリックスター","23320002"
"Core","Wedge","","Fairy Stars","Glint","NAT","Single enemy","Hybrid","-","Wind, NE","0.01","Six single hybrid ranged attacks (0.52 or 1.25 each), grants [Attach Wind Stacking] and [Attach Wind] to the user","N","Lowest HP% enemy","250","ATK +5, MAG +5","","Ripper (Core)","フェアリースター","23320003"
"Core","Wedge","","Great Chain-Cast","USB","BLK","Single enemy","Magical","16.50","Fire, Wind, Ice, NE","2.50","Ten single attacks (1.65 each), grants [Black Magic +50% Boost 2], [Magical Instant Cast 2] and [Magic Purge Follow-Up] to the user","N","Lowest HP% enemy","500","MAG +10","","Scholar's Cap (Core)","大連続じゅもん","23320004"
"Core","Wedge","","Slime Shower","Glint","PHY","All enemies","Physical","5.52","Fire, Water, Wind, NE","0.01","Twelve group ranged attacks (0.46 each)","N","All enemies","250","ATK +10","","Slime Fan (Core)","スライムシャワー","23320005"
