"ID","Character","Name","Effect"
"201010303","Sarah","Windsong","35% chance to grant [Quick Cast 1] to the user after using a Bard ability"
"201010400","Wol","Keen Pragmatist","PHY attacks deal 10% more damage"
"201010401","Wol","Bringer of Change","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201010402","Wol","Breaker of Laws","Grants [Elemental Boost] when HP fall below 20%"
"201010403","Wol","Aspirant of Light","20% chance to cause [Imperil Earth 10% (15s)] to the target after using a Earth attack"
"201010404","Wol","Bravery: WoL","Increases Earth/Holy damage dealt by 10%, 100% chance to dualcast every third Earth/Holy ability, Grants [200% ATB 1] at the beginning of the battle"
"201010500","Echo","Blank Guide","Reduces damage taken by BLK attacks by 10%"
"201010502","Echo","Master of Mischief","Increases the duration of stat debuffs by 40%"
"201010501","Echo","Fickle Fortune","25% chance to cast an ability (NAT: group, restores HP for 30% of the target's maximum HP) after using a Dancer ability"
"201010503","Echo","Fabled Spirit","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201010504","Echo","Faerie Helper","25% chance to dualcast Dancer abilities"
"201010600","Master","Fists of Steel","Monk abilities deal 15% more damage"
"201010601","Master","Fist of the Master","35% chance to dualcast Monk abilities"
"201010602","Master","Glimmer of Insight","25% chance to grant [ATK +35% for Next Damaging Action] to the user after using a Monk ability"
"201010603","Master","Martial Mentor","PHY attacks deal 20% more damage when equipping a fist"
"201010700","Matoya","Eccentric Witch","BLK attacks deal 10% more damage"
"201010702","Matoya","Cave Keeper","35% chance to dualcast Witch abilities"
"201010701","Matoya","Mystic Master","Witch abilities deal 25% more damage when equipping a staff"
"201010703","Matoya","Apt Apothecary","35% chance to grant [Quick Cast 1] to the user after using a Witch ability"
"201140105","Matoya","Bravery: Matoya","100% chance to dualcast every third Witch ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle"
"201010800","Meia","Bewitching Heretic","Increases Water damage dealt by 10%"
"201010802","Meia","Chimeric Witch","30% chance to grant [Quick Cast 3] to the user after using a Water ability"
"201010801","Meia","Azure Witchcraft","Grants [Attach Water] at the beginning of the battle"
"201010803","Meia","Free from Hatred","25% chance to dualcast abilities that deal Water damage"
"201010900","Thief (I)","Deft Dagger","PHY attacks deal 10% more damage when equipping a dagger"
"201010902","Thief (I)","Thief's Prestige","35% chance to dualcast Thief abilities"
"201010901","Thief (I)","Thief's Fortune","50% chance to increase Gil gained at the end of battle by 30% when equipping a dagger"
"201010903","Thief (I)","Thieving Flair","35% chance to grant [Quick Cast 1] to the user after using a Wind or Poison attack"
"201010904","Thief (I)","Bravery: Thief","Increases Wind/Poison damage dealt by 10%, 100% chance to dualcast every third Wind/Poison ability, Grants [200% ATB 1] at the beginning of the battle"
"201020100","Firion","All in the Wrist","PHY attacks deal 10% more damage"
"201020101","Firion","Honed Skills","ATK +1% for each hit dealt with damaging PHY attacks, up to +50%"
"201020103","Firion","Untarnished Honor","25% chance to dualcast Combat abilities"
"201020104","Firion","Future's Edge","25% chance to dualcast Samurai abilities"
"201020105","Firion","Impassioned Leader","25% chance to dualcast Knight abilities"
"201020106","Firion","Defying Oppression","PHY attacks deal 20% more damage when equipping a sword"
"201020107","Firion","Bravery: Firion","100% chance to dualcast every third Holy/Fire/Ice ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle"
"201020200","Maria","Unshakeable","Increases Earth damage dealt by 10%"
"201020201","Maria","Master of Magics","MAG +1% for each hit dealt with damaging BLK attacks, up to +30%"
"201020202","Maria","Depths of Sorrow","Grants [Attach Earth] at the beginning of the battle"
"201020203","Maria","Searching Sister","25% chance to dualcast abilities that deal Earth damage"
"201020204","Maria","Refinement (Maria)","BLK attacks deal 25% more damage"
"201020300","Guy","True of Heart","Increases Earth damage dealt by 10%"
"201020301","Guy","Measured Might","30% chance to cause [Imperil Earth 10% (15s)] to the target after using a Earth attack"
"201020302","Guy","Hale and Hearty","PHY attacks deal 20% more damage when equipping an axe"
"201020303","Guy","Bravery: Guy","100% chance to dualcast every third Earth ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle"
"201020400","Leon","Past Sins","Increases Dark damage dealt by 10%"
"201020401","Leon","Penance","ATK +2% for each hit dealt with PHY attacks that deal Dark damage, up to +50%"
"201020402","Leon","Dark Bloom","25% chance to dualcast Darkness abilities"
"201020403","Leon","Knight Superior","Grants [Attach Dark] at the beginning of the battle"
"201020404","Leon","Bravery: Leon","Increases Dark damage dealt by 10%, 100% chance to dualcast every third Dark ability, Grants [200% ATB 1] at the beginning of the battle"
"201020500","Minwu","Regal Retainer","WHT abilities restore 15% more HP"
"201020501","Minwu","Ultimate Decree","75% chance to remove Poison, Silence, Blind and Confuse to the user after being afflicted with Poison, Silence, Blind or Confuse"
"201020502","Minwu","Rebel Mastermind","25% chance to grant [Physical Blink 1] to the target after using a single-target White Magic ability that restores HP on an ally"
"201020503","Minwu","Seer of Fate","25% chance to dualcast White Magic abilities"
"201020504","Minwu","Heroic Mage","Grants [Attach Holy] at the beginning of the battle"
"201020505","Minwu","Bravery: Minwu","Increases White Magic damage dealt by 10%, 100% chance to dualcast every third White Magic ability, Grants [200% ATB 1] at the beginning of the battle"
"201020600","Gordon","Glimpse of Bravery","Support abilities deal 15% more damage"
"201020601","Gordon","Love's Vow","30% chance to cause [Imperil Fire 10% (15s)] to the target after using a Support ability"
"201020602","Gordon","Kashuan Heir","Increases the duration of stat debuffs by 30%"
"201020603","Gordon","Ascendant Prince","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201020604","Gordon","Ancestral Ardor","25% chance to cast Ancestral Ardor after using a Support ability"
"201020605","Gordon","Swiftness (Gordon)","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201020606","Gordon","Bravery: Gordon","Grants [Quick Cast 3] to the user after using 3 Support abilities, grants [Instant Cast 1] and [Support SB Gauge +25% Boost] at the start of battle"
"201020700","Leila","Mischievous Meddler","PHY attacks deal 10% more damage"
"201020701","Leila","Resourceful Captain","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201020702","Leila","Maiden of the Sea","25% chance to grant [Quick Cast 1] to the user after using a Water or Poison attack"
"201020703","Leila","Pirate of Paloom","20% chance to cause [Imperil Water 10% (15s)] to the target after using a Water attack"
"201020704","Leila","Re-action (Leila)","100% chance to dualcast every third Thief ability"
"201020800","Ricard","Daring Dragoon","Dragoon abilities deal 15% more damage"
"201020801","Ricard","Promise of Peace","ATK +2% for each hit dealt with Dragoon abilities, up to +50%"
"201020802","Ricard","Windslice Wyvern","Grants [Attach Wind] at the beginning of the battle"
"201020803","Ricard","Storm Strider","Grants [Attach Lightning] at the beginning of the battle"
"201020804","Ricard","Quickstrike (Ricard)","Grants [Quick Cast] and [Dragon Thrust] for 15 seconds at the beginning of the battle"
"201020900","Josef","Salamand's Boast","Monk abilities deal 15% more damage"
"201020901","Josef","Fitting End","Causes [Doom: 15], restores HP to all allies for 55% max HP and grants [Last Stand] to all allies when HP fall below 20%"
"201020902","Josef","Man of Virtue","Grants [Attach Ice] at the beginning of the battle"
"201020903","Josef","A Father's Love","25% chance to dualcast Monk abilities"
"201021000","Emperor","Otherworldly Power","BLK attacks deal 10% more damage"
"201021001","Emperor","Hellforged Might","45% chance to counter enemy BLK attacks with an ability (NAT: single, causes [Imperil Earth 10%] for 15 seconds)"
"201021002","Emperor","Soul of Rebirth","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%"
"201021003","Emperor","Despotic Stratagem","Grants [Attach Earth] at the beginning of the battle"
"201021004","Emperor","Bloody Past","25% chance to dualcast Black Magic or Darkness abilities"
"201021005","Emperor","Risen Tyrant","Black Magic abilities deal 25% more damage when equipping a rod"
"201021006","Emperor","Drastic Despot","Grants [Attach Dark] at the beginning of the battle"
"201021100","Hilda","Rebel Commander","WHT abilities restore 15% more HP"
"201021101","Hilda","Princess's Hope","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability"
"201021102","Hilda","Noble Blood","25% chance to dualcast White Magic abilities"
"201021200","Scott","Gallant Prince","Spellblade abilities deal 15% more damage"
"201021201","Scott","Shining Example","35% chance to dualcast Spellblade abilities"
"201021202","Scott","Unspoken Love","Grants [Attach Fire] at the beginning of the battle"
"201021203","Scott","Refinement (Scott)","Increases Fire damage dealt by 25%"
"201030100","Luneth","Unbridled Curiosity","Increases Wind damage dealt by 10%"
"201030101","Luneth","Windborn Warrior","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201030102","Luneth","Orphan of Ur","Grants [Attach Wind] at the beginning of the battle"
"201030103","Luneth","Fast and Furious","35% chance to grant [Quick Cast 1] to the user after using a Wind attack"
"201030104","Luneth","Rascal of Ur","25% chance to dualcast abilities that deal Wind damage"
"201030200","Arc","Youthful Embrace","WHT abilities restore 15% more HP"
"201030201","Arc","Childhood's End","35% chance to dualcast White Magic abilities"
"201030202","Arc","Bookworm","MND +1% for each hit dealt with White Magic abilities, up to +25%"
"201030203","Arc","Studious Orphan","Grants [Attach Water] at the beginning of the battle"
"201030204","Arc","Plucky Orphan","25% chance to dualcast Summoning abilities"
"201030205","Arc","Onslaught (Arc)","35% chance to cast Reflux Leviath after using a Water or Holy ability"
"201030300","Refia","Light of Affection","Increases Fire damage dealt by 10%"
"201030301","Refia","Competitive Spirit","Grants [ATK +50% for Next Damaging Action] to the user after dealing a critical hit"
"201030302","Refia","Deadly Charm","25% chance to dualcast abilities that deal Fire damage"
"201030303","Refia","The Road Ahead","Grants [Attach Fire] at the beginning of the battle"
"201030304","Refia","Onslaught (Refia)","35% chance to cast Flame Blossom after dealing damage with a Monk attack"
"201030305","Refia","Quickstrike (Refia)","Grants [Fire Ability Quick Cast (15s)] and [Flame Lash Follow-Up] at the beginning of the battle"
"201030400","Ingus","Gaia's Champion","Knight abilities deal 15% more damage"
"201030401","Ingus","Grim Protector","ATK +3% for each hit taken by damaging attacks, up to +50%"
"201030402","Ingus","Loyal Heart","25% chance to reduce damage taken by 30% when equipping a shield or heavy armor"
"201030403","Ingus","Resolute Warrior","Grants [Attach Earth] at the beginning of the battle"
"201030404","Ingus","Stoic Knight","25% chance to cast an ability (PHY: single, 3x 0.42 physical Earth/NE, restores 1500 HP to the lowest HP% ally) after using a Knight ability"
"201030405","Ingus","Hidden Feelings","25% chance to dualcast Knight abilities"
"201030406","Ingus","Catalyst (Ingus)","Grants [ATK and DEF +30% (15s)] and [Quick Cast] to the user after using three Knight abilities (only triggers once per battle)"
"201030500","Desch","Ancient Wisdom","Increases Lightning damage dealt by 10%"
"201030501","Desch","Rekindled Memory","35% chance to dualcast abilities that deal Lightning damage"
"201030502","Desch","Total Devotion","MAG +1% for each hit dealt with damaging BLK attacks, up to +20%"
"201030503","Desch","Aimless Wanderer","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201030504","Desch","Lovestruck Wanderer","Grants [Attach Lightning] at the beginning of the battle"
"201030505","Desch","Bravery: Desch","Increases Black Magic damage dealt by 10% when equipped with Sword, Grants [200% ATB 1] and [Quick Cast] at the beginning of the battle"
"201030600","Onion Knight","Swordsman Sublime","35% chance to dualcast Celerity abilities"
"201030601","Onion Knight","Sorceror Sublime","35% chance to dualcast Black Magic abilities"
"201030602","Onion Knight","Nom de Guerre","Grants [Instant Cast 2] at the beginning of the battle"
"201030603","Onion Knight","Power Overflowing","Black Magic abilities deal 25% more damage when equipping a rod or sword"
"201030604","Onion Knight","Bounding Growth","Grants [Attach Water] at the beginning of the battle"
"201030605","Onion Knight","Bravery: Onion Knight","Increases Physical Damage dealt by 20% when equipped with Sword, casts [Instant Cast 1] after using two celerity/ninja abilities (max 1)"
"201030700","Cloud of Darkness","Eldritch Destroyer","Increases Dark damage dealt by 10%"
"201030701","Cloud of Darkness","Effusing Darkness","35% chance to cast an ability (BLK: group, 4.40 magical Dark) after using a Dark ability"
"201030702","Cloud of Darkness","Spawn of Darkness","Grants [Attach Dark] at the beginning of the battle"
"201030703","Cloud of Darkness","Herald of Darkness","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201030704","Cloud of Darkness","Oblivion Seeker","25% chance to dualcast abilities that deal Dark damage"
"201030705","Cloud of Darkness","Hastening (Cloud of Darkness)","Grants [Quick Cast 3] after using three Dark abilities"
"201030900","Aria","Pure of Heart","WHT abilities restore 15% more HP"
"201030901","Aria","Water Crystal's Boon","Reduces damage taken by Fire attacks by 25%"
"201030902","Aria","Crystal Prayer","25% chance to grant [Heals +30%] for 10 seconds to the user after using a WHT ability"
"201030903","Aria","Duty First","25% chance to dualcast White Magic abilities"
"201030904","Aria","Maiden of the Wreck","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability"
"201040100","Cecil (Dark Knight)","Dark Knight's Honor","Increases Dark damage dealt by 10%"
"201040101","Cecil (Dark Knight)","Thirsting Fang","40% chance of restoring HP to the user for 40% of the damage dealt with single-target Dark attacks"
"201040102","Cecil (Dark Knight)","Thirsting Blade","Grants [Last Stand] and [Thirsting Blade] for 25 seconds when HP fall below 20%"
"201040103","Cecil (Dark Knight)","Dark Power","Grants [Attach Dark] at the beginning of the battle"
"201040104","Cecil (Dark Knight)","Dark Elite","25% chance to dualcast Darkness abilities"
"201040105","Cecil (Dark Knight)","Hastening (Cecil (Dark Knight))","Grants [Quick Cast 3] after using three Darkness abilities"
"201040200","Cecil (Paladin)","Harmonious Soul","Reduces damage taken by Holy attacks by 10%"
"201040201","Cecil (Paladin)","Guileless Paladin","40% chance to cover PHY attacks that target allies, reducing damage taken by 50%"
"201040202","Cecil (Paladin)","Indomitable","DEF +3% for each hit taken by damaging attacks, up to +35%"
"201040203","Cecil (Paladin)","Ardor's Light","Grants [Attach Holy] at the beginning of the battle"
"201040204","Cecil (Paladin)","Led by the Moon","25% chance to dualcast Knight abilities"
"201040205","Cecil (Paladin)","Holy Dawn","MND +1% for each hit dealt with White Magic abilities, up to +25%"
"201040206","Cecil (Paladin)","Holy Promise","25% chance to dualcast White Magic abilities"
"201040207","Cecil (Paladin)","Catalyst (Cecil (Paladin))","Grants [Holy Knight Mode] after using three Holy abilities (only triggers once per battle)"
"201040300","Kain","Echoing Roar","Increases Lightning damage dealt by 10%"
"201040301","Kain","Soaring Dragoon","ATK +2% for each hit dealt with jump attacks, up to +50%"
"201040302","Kain","Dragoon's Essence","Dragoon abilities deal 25% more damage when equipping a spear"
"201040303","Kain","Weak No More","Grants [Attach Lightning] at the beginning of the battle"
"201040304","Kain","Dragoon Resolute","25% chance to dualcast Dragoon abilities"
"201040305","Kain","Bravery: Kain","Increases Lightning/Dark damage dealt by 10%, Grants [200% ATB 1] at the beginning of the battle, and casts [Brave Crystal's Might (Kain)] after using three Dragoon abilities (max 1)"
"201040400","Rydia","Eidolon's Legacy","SUM attacks deal 10% more damage"
"201040401","Rydia","Eidolon's Beloved","35% chance to dualcast Summoning abilities"
"201040402","Rydia","Gifted Summoner","35% chance to grant [Quick Cast 1] to the user after using a Summoning ability"
"201040403","Rydia","Pristine Spirit","Grants [Attach Water] at the beginning of the battle"
"201040404","Rydia","Opposing Fate","Grants [Attach Earth] at the beginning of the battle"
"201040405","Rydia","Reluctant Fighter","SUM attacks deal 25% more damage when equipping a whip"
"201040600","Rosa","Gentle Prayer","WHT abilities restore 15% more HP"
"201040601","Rosa","Compassion's Boon","75% chance to remove Poison, Silence, Blind and Confuse to the user after being afflicted with Poison, Silence, Blind or Confuse"
"201040602","Rosa","Quiet Devotion","MND +1% for each hit dealt with White Magic abilities, up to +25%"
"201040603","Rosa","Patrician Beauty","25% chance to dualcast White Magic abilities"
"201040604","Rosa","Fruits of Kindness","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability"
"201040700","Edward","Princely Performance","Support abilities deal 15% more damage"
"201040701","Edward","Call of Courage","75% chance to remove Poison, Silence, Blind and Confuse to the user after being afflicted with Poison, Silence, Blind or Confuse"
"201040702","Edward","Gifted Bard","Increases the duration of stat buffs by 30%"
"201040703","Edward","Man of Courage","Grants [Quick Cast 3] at the beginning of the battle"
"201040704","Edward","Bravery: Edward","Restores 1000 HP to all allies every 3 Bard ability, Grants [200% ATB 1] at the start of the battle, and casts [Soul Break Gauge +250] to the user after using 3 Bard abilities (max 1)"
"201040800","Yang","Master of Monks","Monk abilities deal 15% more damage"
"201040801","Yang","Heightened Prowess","35% chance to dualcast Monk abilities"
"201040802","Yang","Mind and Body","Monk abilities deal 25% more damage when equipping a fist weapon"
"201040803","Yang","Bravery: Yang","Increases Earth damage dealt by 10%, Casts [Quick Cast 3] after every third Earth ability, Grants [200% ATB 1] at the beginning of the battle"
"201040900","Palom","Sibling Antics","BLK attacks deal 10% more damage"
"201040901","Palom","Mysidia's Black Star","35% chance to dualcast Black Magic abilities"
"201040902","Palom","Mischief Lover","Grants [Attach Lightning] at the beginning of the battle"
"201041003","Palom","Eager Prodigy","BLK attacks deal 25% more damage when equipping a rod"
"201041000","Porom","Precocious Sister","WHT abilities restore 15% more HP"
"201041001","Porom","Mysidia's White Star","35% chance to dualcast White Magic abilities"
"201041002","Porom","Busybody","35% chance to grant [Quick Cast 1] to the target after using a single-target White Magic ability that restores HP on an ally"
"201041004","Porom","Sisterly Guidance","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability"
"201041100","Tellah","Keen Insight","BLK attacks deal 10% more damage"
"201041101","Tellah","Renowned Sage","MAG +1% for each hit dealt with damaging BLK attacks, up to +30%"
"201041102","Tellah","Sage's Acumen","Increases the duration of stat buffs by 30%"
"201041103","Tellah","Learned Sage","Grants [Attach Earth] at the beginning of the battle"
"201041104","Tellah","Famed Sage","25% chance to dualcast abilities that deal Earth damage"
"201041105","Tellah","Bravery: Tellah","Increases Earth damage dealt by 10% when equipped with Staff, Casts [Imperil Earth 10% (15s)] every third Earth ability, Grants [200% ATB 1] at the beginning of the battle"
"201041200","Edge","Passionate Prince","Increases Water damage dealt by 10%"
"201041201","Edge","Spirit of Eblan","35% chance to dualcast Ninja abilities"
"201041202","Edge","Eblan's Legacy","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability"
"201041203","Edge","Unequaled Master","25% chance to cast Unequaled Master after using a Ninja ability"
"201041204","Edge","Hastening (Edge)","Grants [Quick Cast 3] after using three Ninja abilities"
"201041300","Fusoya","Moon's Wisdom","BLK or WHT attacks deal 10% more damage"
"201041301","Fusoya","Guardian of Worlds","35% chance to dualcast Black Magic or White Magic abilities"
"201041302","Fusoya","Watcher of Worlds","Grants [Attach Holy] at the beginning of the battle"
"201041303","Fusoya","Blessing (Fusoya)","Grants [HP Stock (2000)] and [Regenga] to all allies when HP fall below 20%"
"201041400","Golbez","Archfiend Mastermind","Increases Dark damage dealt by 10%"
"201041401","Golbez","Mage of Grandeur","Grants [Last Stand] and [Sentinel] at the beginning of the battle"
"201041402","Golbez","Air of Intimidation","Grants [Attach Dark] at the beginning of the battle"
"201041403","Golbez","Darkest Mage","25% chance to dualcast Darkness abilities"
"201041404","Golbez","Bravery: Golbez","Increases Dark damage dealt by 10% when equipped with Rod, Grants [200% ATB 1] at the beginning of the battle, and casts [Quick Cast 3] after using three dark abilities (max 1)"
"201041500","Cid (IV)","Born Engineer","Increases Lightning damage dealt by 10%"
"201041501","Cid (IV)","Airship Aficionado","30% chance to cause [Imperil Lightning 10% (15s)] to the target after using a Lightning attack"
"201041502","Cid (IV)","Seasoned Fortitude","Grants [Last Stand] and [Hailstorm] for 25 seconds when HP fall below 20%"
"201041503","Cid (IV)","Unselfish Disposition","Grants [Attach Lightning] at the beginning of the battle"
"201041504","Cid (IV)","Re-action (Cid IV)","100% chance to dualcast every third Lightning ability"
"201041800","Ceodore","Ascendant Prince","Knight abilities deal 15% more damage"
"201041801","Ceodore","Fledgling Red Wing","35% chance to cast an ability (NAT: single, restores HP for 40% of the target's maximum HP) after using a Knight ability"
"201041802","Ceodore","His Father's Justice","30% chance to cover PHY attacks that target allies, reducing damage taken by 20%"
"201041803","Ceodore","Purest Prince","Grants [Attach Holy] at the beginning of the battle"
"201041804","Ceodore","Divine Bloodline","25% chance to dualcast abilities that deal Holy damage"
"201041805","Ceodore","Pioneer (Ceodore)","Grants [Attach Holy] and [Quick Cast] at the beginning of the battle"
"201042100","Ursula","Youthful Memories","Monk abilities deal 15% more damage"
"201042101","Ursula","Father's Legacy","ATK +2% for each hit dealt with Monk abilities, up to +50%"
"201042102","Ursula","Back Unbent","25% chance to dualcast Monk abilities"
"201042103","Ursula","Filial Devotion","Grants [Attach Earth] at the beginning of the battle"
"201042000","Rubicante","Chief Archfiend","Increases Fire damage dealt by 10%"
"201042001","Rubicante","Grudging Respect","35% chance to dualcast abilities that deal Fire damage"
"201042002","Rubicante","Red-cloaked Terror","Grants [Attach Fire] at the beginning of the battle"
"201042003","Rubicante","Fiercest Fiend","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Black Magic ability"
"201042200","Barbariccia","Conceit","Increases Wind damage dealt by 10%"
"201042201","Barbariccia","Tower Master","35% chance to dualcast abilities that deal Wind damage"
"201042202","Barbariccia","Ruler of the Wind","Grants [Attach Wind] at the beginning of the battle"
"201050200","Lenna","Princess's Love","WHT abilities restore 15% more HP"
"201050201","Lenna","Overflowing Love","40% chance to grant [Heals +30%] to the user after using a WHT ability or soulbreak"
"201050202","Lenna","Impartial Kindness","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability, can trigger on dualcasts"
"201050500","Galuf","Walker of Worlds","Monk abilities deal 15% more damage"
"201050501","Galuf","Timeless Valor","ATK +2% for each hit dealt with Monk abilities, up to +50%"
"201050502","Galuf","Priceless Experience","25% chance to dualcast Monk abilities"
"201050503","Galuf","Old and Bold","Grants [Quick Cast 3] at the beginning of the battle"
"201050504","Galuf","Regal Nature","Grants [Attach Earth] at the beginning of the battle"
"201050600","Gogo (V)","Profound Mimic","Increases Water damage dealt by 10%"
"201050601","Gogo (V)","Quintessential Mimicry","35% chance to dualcast abilities that deal Water damage"
"201050602","Gogo (V)","Waterlogged Misfit","Water attacks deal 25% more damage when equipping a rod"
"201050603","Gogo (V)","Subversion (Gogo (V))","Causes [Imperil Water 10% (15s)] after using three Water abilities"
"201050701","Gilgamesh","Dark Sage's Hand","PHY attacks deal 10% more damage"
"201050702","Gilgamesh","Desperate Obligation","Grants [Protect], [Shell], [Haste] and [Gilgamesh Trance] when HP fall below 20%"
"201050703","Gilgamesh","Hero's Kindness","25% chance to dualcast Samurai abilities"
"201050704","Gilgamesh","Melodramatic Swordsman","Grants [Attach Fire] at the beginning of the battle"
"201050100","Bartz","Tempered Spellblade","Spellblade abilities deal 15% more damage"
"201050101","Bartz","Twinstrike Champion","35% chance to dualcast Spellblade abilities"
"201050102","Bartz","Fragments of Grace","10% chance to dualcast Spellblade abilities twice"
"201050103","Bartz","Hereditary Skill","Spellblade abilities deal 25% more damage when equipping a sword"
"201050900","Faris","Sarisa's Memory","Support abilities deal 15% more damage"
"201050901","Faris","Forgotten Family","Increases the duration of stat debuffs by 40%"
"201050902","Faris","Warrior Princess","Increases damage dealt by 3/6/9/12/20% if 1/2/3/4/5 of the target's stats are lowered"
"201050903","Faris","Rabble Wrangler","25% chance to dualcast Thief abilities"
"201050904","Faris","Disguised Princess","Grants [Attach Wind] at the beginning of the battle"
"201050905","Faris","First Princess","PHY attacks deal 20% more damage when equipping a bow"
"201051000","Dorgann","Courage of Conviction","Knight abilities deal 15% more damage"
"201051001","Dorgann","Crystal Champion","35% chance to dualcast Knight abilities"
"201051002","Dorgann","Wandering Adventurer","Grants [Attach Earth] at the beginning of the battle"
"201051003","Dorgann","Warrior of Regole","20% chance to cause [Imperil Earth 10% (15s)] to the target after using an Earth attack"
"201051100","Exdeath","Evil Incarnate","Increases Dark damage dealt by 10%"
