"Common Name","Effects","Default Duration","MND Modifier","Exclusive Status","ID"
"Ninja High Quick Cast 2","Cast speed x3.00 for Ninja abilities, lasts for 2 turns","-","-","-","2162"
"Ninja High Quick Cast 3","Cast speed x3.00 for Ninja abilities, lasts for 3 turns","-","-","-","2163"
"Bard High Quick Cast 2","Cast speed x3.00 for Bard abilities, lasts for 2 turns","-","-","-","2164"
"Bard High Quick Cast 3","Cast speed x3.00 for Bard abilities, lasts for 3 turns","-","-","-","2165"
"Dancer High Quick Cast 2","Cast speed x3.00 for Dancer abilities, lasts for 2 turns","-","-","-","2166"
"Dancer High Quick Cast 3","Cast speed x3.00 for Dancer abilities, lasts for 3 turns","-","-","-","2167"
"Machinist High Quick Cast 2","Cast speed x3.00 for Machinist abilities, lasts for 2 turns","-","-","-","2168"
"Machinist High Quick Cast 3","Cast speed x3.00 for Machinist abilities, lasts for 3 turns","-","-","-","2169"
"Darkness High Quick Cast 2","Cast speed x3.00 for Darkness abilities, lasts for 2 turns","-","-","-","2170"
"Darkness High Quick Cast 3","Cast speed x3.00 for Darkness abilities, lasts for 3 turns","-","-","-","2171"
"Sharpshooter High Quick Cast 2","Cast speed x3.00 for Sharpshooter abilities, lasts for 2 turns","-","-","-","2172"
"Sharpshooter High Quick Cast 3","Cast speed x3.00 for Sharpshooter abilities, lasts for 3 turns","-","-","-","2173"
"Witch High Quick Cast 2","Cast speed x3.00 for Witch abilities, lasts for 2 turns","-","-","-","2174"
"Witch High Quick Cast 3","Cast speed x3.00 for Witch abilities, lasts for 3 turns","-","-","-","2175"
"Heavy High Quick Cast 2","Cast speed x3.00 for Heavy abilities, lasts for 2 turns","-","-","-","2176"
"Heavy High Quick Cast 3","Cast speed x3.00 for Heavy abilities, lasts for 3 turns","-","-","-","2177"
"Black Magic Instant Cast 2","Cast speed x9999999 for Black Magic abilities, lasts for 2 turns","-","-","-","2178"
"Black Magic Instant Cast 3","Cast speed x9999999 for Black Magic abilities, lasts for 3 turns","-","-","-","2179"
"White Magic Instant Cast 2","Cast speed x9999999 for White Magic abilities, lasts for 2 turns","-","-","-","2180"
"White Magic Instant Cast 3","Cast speed x9999999 for White Magic abilities, lasts for 3 turns","-","-","-","2181"
"Summoning Instant Cast 2","Cast speed x9999999 for Summoning abilities, lasts for 2 turns","-","-","-","2182"
"Summoning Instant Cast 3","Cast speed x9999999 for Summoning abilities, lasts for 3 turns","-","-","-","2183"
"Spellblade Instant Cast 2","Cast speed x9999999 for Spellblade abilities, lasts for 2 turns","-","-","-","2184"
"Spellblade Instant Cast 3","Cast speed x9999999 for Spellblade abilities, lasts for 3 turns","-","-","-","2185"
"Combat Instant Cast 2","Cast speed x9999999 for Combat abilities, lasts for 2 turns","-","-","-","2186"
"Combat Instant Cast 3","Cast speed x9999999 for Combat abilities, lasts for 3 turns","-","-","-","2187"
"Support Instant Cast 2","Cast speed x9999999 for Support abilities, lasts for 2 turns","-","-","-","2188"
"Support Instant Cast 3","Cast speed x9999999 for Support abilities, lasts for 3 turns","-","-","-","2189"
"Celerity Instant Cast 2","Cast speed x9999999 for Celerity abilities, lasts for 2 turns","-","-","-","2190"
"Celerity Instant Cast 3","Cast speed x9999999 for Celerity abilities, lasts for 3 turns","-","-","-","2191"
"Dragoon Instant Cast 2","Cast speed x9999999 for Dragoon abilities, lasts for 2 turns","-","-","-","2192"
"Dragoon Instant Cast 3","Cast speed x9999999 for Dragoon abilities, lasts for 3 turns","-","-","-","2193"
"Monk Instant Cast 2","Cast speed x9999999 for Monk abilities, lasts for 2 turns","-","-","-","2194"
"White Magic Quick Cast","Cast speed x2.00 for White Magic abilities","15","-","-","2195"
"Thief Instant Cast 2","Cast speed x9999999 for Thief abilities, lasts for 2 turns","-","-","-","2196"
"Thief Instant Cast 3","Cast speed x9999999 for Thief abilities, lasts for 3 turns","-","-","-","2197"
"Knight Instant Cast 2","Cast speed x9999999 for Knight abilities, lasts for 2 turns","-","-","-","2198"
"Knight Instant Cast 3","Cast speed x9999999 for Knight abilities, lasts for 3 turns","-","-","-","2199"
"Samurai Instant Cast 2","Cast speed x9999999 for Samurai abilities, lasts for 2 turns","-","-","-","2200"
"Samurai Instant Cast 3","Cast speed x9999999 for Samurai abilities, lasts for 3 turns","-","-","-","2201"
"Ninja Instant Cast 2","Cast speed x9999999 for Ninja abilities, lasts for 2 turns","-","-","-","2202"
"Ninja Instant Cast 3","Cast speed x9999999 for Ninja abilities, lasts for 3 turns","-","-","-","2203"
"Bard Instant Cast 2","Cast speed x9999999 for Bard abilities, lasts for 2 turns","-","-","-","2204"
"Bard Instant Cast 3","Cast speed x9999999 for Bard abilities, lasts for 3 turns","-","-","-","2205"
"Dancer Instant Cast 2","Cast speed x9999999 for Dancer abilities, lasts for 2 turns","-","-","-","2206"
"Dancer Instant Cast 3","Cast speed x9999999 for Dancer abilities, lasts for 3 turns","-","-","-","2207"
"Machinist Instant Cast 3","Cast speed x9999999 for Machinist abilities, lasts for 3 turns","-","-","-","2209"
"Darkness Instant Cast 2","Cast speed x9999999 for Darkness abilities, lasts for 2 turns","-","-","-","2210"
"Darkness Instant Cast 3","Cast speed x9999999 for Darkness abilities, lasts for 3 turns","-","-","-","2211"
"Sharpshooter Instant Cast 2","Cast speed x9999999 for Sharpshooter abilities, lasts for 2 turns","-","-","-","2212"
"Sharpshooter Instant Cast 3","Cast speed x9999999 for Sharpshooter abilities, lasts for 3 turns","-","-","-","2213"
"Witch Instant Cast 2","Cast speed x9999999 for Witch abilities, lasts for 2 turns","-","-","-","2214"
"Witch Instant Cast 3","Cast speed x9999999 for Witch abilities, lasts for 3 turns","-","-","-","2215"
"Heavy Instant Cast 2","Cast speed x9999999 for Heavy abilities, lasts for 2 turns","-","-","-","2216"
"Heavy Instant Cast 3","Cast speed x9999999 for Heavy abilities, lasts for 3 turns","-","-","-","2217"
"Magical High Quick Cast 3","Cast speed x3.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 3 turns","-","-","-","2218"
"Magical High Quick Cast","Cast speed x3.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","15","-","-","2219"
"Magical High Quick Cast 1","Cast speed x3.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 1 turn","-","-","-","2220"
"Beyond Enlightened Mode 1","Cast speed x2.00 for magical damage, grants [Beyond Enlightened Mode 2] after using a Holy attack, removed if the user hasn't Saintly Arc Finisher","-","-","All other ""Beyond Enlightened Mode"" status","2221"
"Beyond Enlightened Mode 2","Cast speed x2.50 for magical damage, grants [Beyond Enlightened Mode 3] after using a Holy attack, removed if the user hasn't Saintly Arc Finisher","-","-","All other ""Beyond Enlightened Mode"" status","2222"
"Beyond Enlightened Mode 3","Cast speed x3.00 for magical damage, grants [Beyond Enlightened Mode 3] after using a Holy attack, removed if the user hasn't Saintly Arc Finisher","-","-","All other ""Beyond Enlightened Mode"" status","2223"
"Magical High Quick Cast 2","Cast speed x3.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 2 turns","-","-","-","2224"
"Magical Instant Cast 2","Cast speed x9999999 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 2 turns","-","-","-","2225"
"Beyond Enlightened Mode 0","Grants [Beyond Enlightened Mode 1] after using a Holy attack, removed if the user hasn't Saintly Arc Finisher","-","-","All other ""Beyond Enlightened Mode"" status","2226"
"Combat Instant Cast","Cast speed x9999999 for Combat abilities","15","-","-","2227"
"Celerity Instant Cast","Cast speed x9999999 for Celerity abilities","15","-","-","2228"
"Monk High Quick Cast 1","Cast speed x3.00 for Monk abilities, lasts for 1 turn","-","-","-","2229"
"Instant Cast","Cast speed x9999999","15","-","-","2230"
"Water/Ice/Earth Ability Quick Cast 1","Cast speed x2.00 for Water, Ice and Earth abilities, lasts for 1 turn","-","-","-","2304"
"Water/Ice/Earth Ability Quick Cast 2","Cast speed x2.00 for Water, Ice and Earth abilities, lasts for 2 turns","-","-","-","2305"
"Water/Ice/Earth Ability Instant Cast 3","Cast speed x9999999 for Water, Ice and Earth abilities, lasts for 3 turns","-","-","-","2306"
"Dark/Fire Ability Quick Cast 2","Cast speed x2.00 for Dark and Fire abilities, lasts for 2 turns","-","-","-","2307"
"Fire Ability Instant Cast 3","Cast speed x9999999 for Fire abilities, lasts for 3 turns","-","-","-","2313"
"(Ice/Dark) Ability Quick Cast 3","Cast speed x2.00 for Ice and Dark abilities, lasts for 3 turns","-","-","-","2316"
"(Ice/Dark) Ability Quick Cast 1","Cast speed x2.00 for Ice and Dark abilities, lasts for 1 turn","-","-","-","2317"
"Ice Ability Instant Cast 3","Cast speed x9999999 for Ice attacks, lasts for 3 turns","-","-","-","2318"
"Dragoon Instant Cast 1","Cast speed x9999999 for Dragoon abilities, lasts for 1 turn","-","-","-","2319"
"Earth Ability Instant Cast (15s)","Cast speed x9999999 for Earth abilities","15","-","-","2325"
"Monk Instant Cast 1","Cast speed x9999999 for Monk abilities, lasts for 1 turn","-","-","-","2326"
"Spellblade Instant Cast 5","Cast speed x9999999 for Spellblade abilities, lasts 5 turns","-","-","-","2329"
"Lightning Instant Cast","Cast speed x9999999 for Lightning attacks","15","-","-","2250"
"Jump High Quick Cast 2","Cast speed x3.00 for Jump attacks, lasts for 2 turns","-","-","-","2251"
"Water Instant Cast","Cast speed x9999999 for Water attacks","15","-","-","2252"
"Water Quick Cast","Cast speed x2.00 for Water attacks","15","-","-","2253"
"Physical Quick Cast","Cast speed x2.00 for PHY attacks","15","-","-","2254"
"Spellblade High Quick Cast 1","Cast speed x3.00 for Spellblade abilities, lasts for 1 turn","-","-","-","2255"
"Physical Quick Cast 1","Cast speed x2.00 for PHY attacks, lasts for 1 turn","-","-","-","2256"
"Machinist Instant Cast","Cast speed x9999999 for Machinist abilities","15","-","-","2257"
"High Quick Cast 3","Cast speed x3.00, lasts for 3 turns","-","-","-","2258"
"Physical Quick Cast 2","Cast speed x2.00 for PHY attacks, lasts for 2 turns","-","-","-","2259"
"Jump Instant Cast 3","Cast speed x9999999 for Jump attacks, lasts for 3 turns","-","-","-","2260"
"Thief Instant Cast","Cast speed x9999999 for Thief abilities","15","-","-","2261"
"Ninja Instant Cast 1","Cast speed x9999999 for Ninja abilities, lasts for 1 turn","-","-","-","2262"
"Jump Quick Cast 1","Cast speed x2.00 for Jump attacks, lasts for 1 turn","-","-","-","2263"
"133% Quick Cast 1","Cast speed x1.33, lasts for 1 turn","-","-","-","2264"
"Dragoon Quick Cast 1","Cast speed x2.00 for Dragoon abilities, lasts for 1 turn","-","-","-","2265"
"High Quick Cast (25s)","Cast speed x3.00","25","-","-","2266"
"166% Quick Cast 1","Cast speed x1.66, lasts for 1 turn","-","-","-","2267"
"142% Quick Cast 1","Cast speed x1.42, lasts for 1 turn","-","-","-","2268"
"125% Quick Cast 1","Cast speed x1.25, lasts for 1 turn","-","-","-","2269"
"111% Quick Cast 1","Cast speed x1.11, lasts for 1 turn","-","-","-","2270"
"Holy Quick Cast 4","Cast speed x2.00 for Holy attacks, lasts for 4 turns","-","-","-","2271"
"(Earth/Holy) Ability Quick Cast (15s)","Cast speed x2.00 for Earth and Holy abilities","15","-","-","2272"
"Water Quick Cast 4","Cast speed x2.00 for Water attacks, lasts for 4 turns","-","-","-","2273"
"Samurai Quick Cast 1","Cast speed x2.00 for Samurai abilities, lasts for 1 turn","-","-","","2274"
"(Wind/Dark) Ability Instant Cast 2","Cast speed x9999999 for Wind and Dark abilities, lasts for 2 turns","-","-","-","2275"
"Fire Ability Instant Cast (15s)","Cast speed x9999999 for Fire abilities","15","-","-","2276"
"Earth Quick Cast 4","Cast speed x2.00 for Earth attacks, lasts for 4 turns","-","-","-","2277"
"Wind Quick Cast 4","Cast speed x2.00 for Wind attacks, lasts for 4 turns","-","-","-","2278"
"Fire Quick Cast 4","Cast speed x2.00 for Fire attacks, lasts for 4 turns","-","-","-","2279"
"Wind/Holy Ability Instant Cast 3","Cast speed x9999999 for Wind and Holy abilities, lasts for 2 turns","-","-","-","2280"
"Lightning Quick Cast 1","Cast speed x2.00 for Lightning attacks, lasts for 1 turn","-","-","-","2281"
"Black Magic Quick Cast 1","Cast speed x2.00 for Black Magic abilities, lasts for 1 turn","-","-","-","2282"
"Ice Quick Cast 4","Cast speed x2.00 for Ice attacks, lasts for 4 turns","-","-","-","2283"
"Fire Ability Quick Cast (15s)","Cast speed x2.00 for Fire abilities","15","-","-","2284"
"Water Ability Instant Cast 3","Cast speed x9999999 for Water abilities, lasts for 3 turns","-","-","-","2285"
"Lightning Quick Cast 4","Cast speed x2.00 for Lightning attacks, lasts for 4 turns","-","-","-","2286"
