"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Wol","Begraben","Hard Break","2","Earth, Holy","PHY","Single enemy","Physical","0.90","Earth, Holy, NE","1.65","One single attack (0.90), grants [Quick Cast 3] and [(Earth/Holy) Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Knight","ハードブレイク","31541381","2013"
"Minwu","Holy XCIX","Diara LXVI","1","Holy","WHT","Single enemy","Magical","18.60","Holy, NE","1.65","Six single attacks (3.10 each)","Y","Lowest HP% enemy","90","White Magic","アディア66","30542252","2"
"Minwu","Holy XCIX","Dia XXXIII","2","Holy","WHT","Single enemy","Magical","9.30","Holy, NE","1.65","Three single attacks (3.10 each), grants [Holy Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","White Magic","ディア33","30542253","2"
"Maria","Armageddon XCIX","Break VIII","1","Earth","BLK","Single enemy","Magical","24.40","Earth, NE","1.65","4/6/8 single attacks (3.05 each) scaling with activations","Y","Lowest HP% enemy","90","Black Magic","ブレイク8","30541344","103"
"Maria","Armageddon XCIX","Inner Calm VIII","2","Black Magic","NAT","Self","","","","0.01","Grants [Dualcast Earth 1] and [Buff Earth 10% (15s)] to the user","N","Self","70","Black Magic","しゅうちゅう8","30541345","1"
"Maria","Cosmic Arrow XCIX","Earth VIII","1","Earth","BLK","Single enemy","Magical","18.30","Earth, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","アース8","31540990","103"
"Maria","Cosmic Arrow XCIX","Quicker VIII","2","Earth","BLK","Single enemy","Magical","2.70","Earth, NE","0.01","One single attack (2.70), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","70","Black Magic","クイッカー8","31540991","103"
"Firion","Full Mastery","Swordmastery","1","Knight","PHY","Single enemy","Physical","6.30","Holy, Ice, Fire, NE","1.65","5/7 single attacks (0.90 each) if user hasn't/has Proficiency, grants [Knight +30% Boost 1] to the user if user has Proficiency, removes Proficiency from the user","Y","Lowest HP% enemy","90","Knight","マスター剣技","31540040","11"
"Firion","Full Mastery","Blademastery","2","Samurai","PHY","Single enemy","Physical","6.30","Holy, Ice, Fire, NE","1.65","5/7 single attacks (0.90 each) if user hasn't/has Proficiency, grants [Samurai +30% Boost 1] to the user if user has Proficiency, removes Proficiency from the user","Y","Lowest HP% enemy","90","Samurai","マスター刀技","31540041","12"
"Firion","Blizzard Lord","Swordslash","1","Ice","PHY","Single enemy","Physical","7.20","Ice, NE","1.65","4/6/8 single attacks (0.90 each) scaling with activations","Y","Lowest HP% enemy","90","Samurai","ソードブロウ","31540907","101"
"Firion","Blizzard Lord","Gelid Wand","2","Ice","NAT","Self","","","","0.01","Grants [Ice Ability +30% Boost 3]","N","Self","70","Samurai","アイスワンド","31540908","101"
"Firion","Weapon Master","Saintfire Sweep","1","Holy, Fire","PHY","Single enemy","Physical","7.20","Holy, Fire, NE","1.65","6/8 single attacks (0.90 each) if the user has Armaments level 0-1/2, heals the user for 20% of the damage dealt if the user has Armaments level 1, causes Armaments -1 to the user","Y","Lowest HP% enemy","90","Samurai","聖炎刀技の払い","31540995","2012"
"Firion","Weapon Master","Saintfire Blade","2","Holy, Fire","NAT","Self","","","","0.01","Grants [Quick Cast 2] and Armaments +2","N","Self","70","Samurai","聖炎刀技の構え","31540996","2012"
"Hilda","Wild Rose Bloom","Fortifying Minuet","1","Bard, Dancer","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1] and [HP Stock (1000)]","N","All allies","70","Bard","堅守のメヌエット","31540043","1001"
"Hilda","Wild Rose Bloom","Peaceful Lamentation","2","Bard, White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","安らぎの哀歌","31540044","1005"
"Leila","Split Edge","Water Bite","1","Water","PHY","Single enemy","Physical","4.80","Water, NE","0.01","Six single attacks (0.80 each)","Y","Lowest HP% enemy","60","Thief","ウォータバイト","31540116","105"
"Leila","Split Edge","Aqua Harm","2","Water","PHY","Single enemy","Physical","2.40","Water, NE","1.20","Three single attacks (0.80 each), grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Thief","アクアハーム","31540117","105"
"Leila","Hollow Beauty","Scourge Bite","1","Poison","PHY","Single enemy","Physical","6.40","Poison, NE","1.20","4/6/8 single attacks (0.80 each) scaling with activations, grants [Poison Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","70","Thief","クラウダバイト","31541110","108"
"Leila","Hollow Beauty","Poison Harm","2","Poison","NAT","Self","","","","0.01","Grants [Dualcast Poison 1] and [Buff Poison 10% (15s)]","N","Self","70","Thief","ポイズンハーム","31541111","108"
"Emperor","World Dominator","Dismal Gale","1","Black Magic, Darkness","BLK","Single enemy","Magical","18.30","Dark, Earth, Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","冥闇の暴風","31540472","1009"
"Emperor","World Dominator","Dismal Cyclone","2","Black Magic, Darkness","BLK","Single enemy","Magical","16.40","Dark, Earth, Wind, NE","1.65","One single attack (16.40) capped at 99999, grants [Black Magic +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","冥闇の竜巻","31540473","1009"
"Josef","Heroic Blow","Shard Striker","1","Monk","PHY","Single enemy","Physical","5.40","Ice, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","砕氷拳打","31540331","9"
"Josef","Heroic Blow","Guardian Stance","2","Monk","NAT","Self","","","","1.65","Grants [Instant Cast 2]/[40% Damage Reduction Barrier 2]/[100% Critical (25s)] to the user/all allies/all allies at Heroism level 0/1/2, removes Heroism from the user","N","Self","100","Support","仁王立ち","31540332","9"
"Josef","Hero's Resolve","Hyperborean Fist","1","Ice","PHY","Single enemy","Physical","9.21","Ice, NE","1.65","Five single attacks (0.90 each), followed by one single attack (4.71) that ignores DEF","Y","Lowest HP% enemy","90","Monk","漢の氷拳","31541133","101"
"Josef","Hero's Resolve","Unmatched Valor","2","Ice","NAT","Self","","","","0.01","Grants [Quick Cast 3] and [Ice Ability +30% Boost 3]","N","Self","70","Monk","勇猛無比","31541134","101"
"Gordon","Honored Memory","Resolute Mind","1","White Magic","NAT","Single enemy","","","","1.65","Causes [ATK and DEF -50% (15s)]/[MAG and RES -50% (15s)] every 1+2n/2+2n activations","N","Lowest HP% enemy","100","Support","確固たる決意","31540555","2"
"Gordon","Honored Memory","Delicate Command","2","White Magic","NAT","Single ally","","","","0.01","Grants [Soul Break Gauge +150] if the user has Rally level > 0, causes Rally -1 to the user, grants [Quick Cast 1] to all allies","N","Random ally","70","Support","精妙なる指揮","31540556","2"
"Scott","Scarlet Pyroblade","Smoldering Sentiment","1","Fire","PHY","Single enemy","Physical","5.10","Fire, NE","1.65","Six single attacks (0.85/0.95 each) if 0/1+ of Gordon or Hilda are alive, grants [Buff Fire 10% (5s)] to all allies","Y","Lowest HP% enemy","90","Spellblade","想いの烈炎","31540552","100"
"Scott","Scarlet Pyroblade","Valiant Struggle","2","Fire","PHY","Single enemy","Physical","2.70","Fire, NE","1.65","Three single attacks (0.90 each), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","90","Spellblade","勇ましき奮闘","31540553","100"
"Ricard","Windbolt Dragoon","Spear Onslaught","1","Dragoon","PHY","Single enemy","Physical","5.40","Wind, Lightning, Water, Dark, NE","1.65","Six single ranged jump attacks (0.90 each), air time (2.50 sec.)","Y","Lowest HP% enemy","90","Dragoon","竜槍の猛撃","31541183","8"
"Ricard","Windbolt Dragoon","Valiant Dash","2","Dragoon","PHY","Single enemy","Physical","0.80","Wind, Lightning, Water, Dark, NE","0.01","One single ranged jump attack (0.80), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","60","Dragoon","勇ましき疾駆","31541184","8"
"Guy","Moon Howl","Wolf's Bite","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each), causes [Imperil Earth 10% (5s)]","Y","Lowest HP% enemy","90","Monk","狼の鋭牙","31541293","103"
"Guy","Moon Howl","Colossal Arm","2","Earth","NAT","Self","","","","0.01","Grants [Dualcast Earth 1] and [Buff Earth 10% (15s)] to the user","N","Self","70","Monk","巨漢の堅腕","31541294","103"
"Leon","Shadow Force","Treacherous Darkspear","1","Dark","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Darkness","裏切りの闇槍","31541297","107"
"Leon","Shadow Force","Thirst for Power","2","Dark","PHY","Single enemy","Physical","2.70","Dark, NE","1.65","Three single attacks (0.90 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","90","Darkness","力の渇望","31541298","107"
"Onion Knight","Channel Water","Synchrospell Water","1","Water","BLK","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","同期式だいまほう・水","30541163","105"
"Onion Knight","Channel Water","Breachspell Water","2","Water","BLK","Single enemy","Magical","16.40","Water, NE","1.65","One single attack (16.40) capped at 99999, grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","限界突破だいまほう・水","30541164","105"
"Onion Knight","Channel Earth","Synchrospell Earth","1","Earth","BLK","Single enemy","Magical","18.30","Earth, NE","1.65","Six single attacks (3.05 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","同期式だいまほう・地","31540742","103"
"Onion Knight","Channel Earth","Breachspell Earth","2","Earth","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 3] if the user has Magus of Earth level 0, grants [Earth Ability +30% Boost 3] and [High Quick Cast 1] to all allies if the user has Magus of Earth level 1, causes Magus of Earth -1 to the user","N","Self","70","Black Magic","限界突破だいまほう・地","31540743","103"
"Onion Knight","Channel Wind","Synchrospell Wind","1","Wind","BLK","Single enemy","Magical","18.30","Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","同期式だいまほう・風","31541024","104"
"Onion Knight","Channel Wind","Breachspell Wind","2","Wind","NAT","Self","","","","0.01","Grants [Quick Cast 3] and [Wind Ability +50% Boost 3]","N","Self","70","Black Magic","限界突破だいまほう・風","31541025","104"
"Onion Knight","Onion Dual Wield","Swift Hit","1","Celerity, Ninja","PHY","Single enemy","Physical","4.80","Wind, Water, Fire, Earth, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Celerity","クイックヒット","31541322","1022"
"Onion Knight","Onion Dual Wield","Onion Knight's Dance","2","Wind, Water, Fire, Earth","PHY","Single enemy","Physical","0.80","Wind, Water, Fire, Earth, NE","0.83","One single attack (0.80), grants [Wind/Water/Fire/Earth Ability +30% Boost 2] and [Quick Cast 2] to the user","Y","Lowest HP% enemy","70","Celerity","たまねぎ剣士の舞","31541323","2017"
"Onion Knight","Channel Fire","Synchrospell Fire","1","Fire","BLK","Single enemy","Magical","19.20","Fire, NE","1.65","Six single attacks (2.90 each), 3.20 each if exploiting elemental weakness","Y","Lowest HP% enemy","90","Black Magic","同期式だいまほう・炎","31541986","100"
"Onion Knight","Channel Fire","Breachspell Fire","2","Fire","BLK","Single enemy","Magical","14.52","Fire, NE","0.83","One single attack (14.52) capped at 99999, grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","70","Black Magic","限界突破だいまほう・炎","31541987","100"
"Ingus","Knight's Assault","Titanic Rush","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Knight","ティターンラッシュ","30544422","103"
"Ingus","Knight's Assault","Titanic Charge","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [Earth Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Knight","ティターンチャージ","30544423","103"
"Ingus","Paragon of Chivalry","Sasune Rush","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Knight","サスーンラッシュ","31541028","103"
"Ingus","Paragon of Chivalry","Sasune Guard","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [Quick Cast 1] to the user, grants [40% Damage Reduction Barrier 1] to all FF3 allies","Y","Lowest HP% enemy","90","Knight","サスーンガード","31541029","103"
"Cloud of Darkness","Diffusion Particle Beam","Chain Aura Ball","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Darkness","連弾式 波動球","31540278","107"
"Cloud of Darkness","Diffusion Particle Beam","Deceit Aura Ball","2","Dark","BLK","Single enemy","Magical","16.40","Dark, NE","1.65","One single attack (16.40) capped at 99999, causes [DEF, RES and MND -70% (8s)] if user has Tentacle Form level 1, causes Tentacle Form -1","Y","Lowest HP% enemy","90","Darkness","装弾式 波動球","31540279","107"
"Cloud of Darkness","Scatter Particle Beam","Induction Beam","1","Lightning","BLK","Single enemy","Magical","18.30","Dark, Lightning, NE","1.65","Six single attacks (3.05 each), grants [Lightning Ability +30% Boost 2] and Flood of Darkness +1 to the user","Y","Lowest HP% enemy","90","Darkness","誘導砲","31541283","102"
"Cloud of Darkness","Scatter Particle Beam","Uncanny Beam","2","Lightning","BLK","Single enemy","Magical","16.40","Dark, Lightning, NE","1.65","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","90","Darkness","噴流砲","31541284","102"
"Aria","Ephemeral Maiden","Sacred Iris","1","Bard, White Magic","WHT","Single ally","","","","0.01","Restores HP (55) if target hasn't any Stoneskin, grants [Stoneskin: 50%]/[Stoneskin: 100%] if target hasn't/has any Stoneskin","N","Lowest HP% ally","70","White Magic","聖空のアイリス","31540282","1005"
"Aria","Ephemeral Maiden","Rainbow Sky Veil","2","Bard, White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","虹空のヴェール","31540283","1005"
"Aria","Rainbow Prayer","Maiden's Wonder","1","Bard, White Magic","WHT","Single enemy","Magical","9.30","Water, NE","1.65","Three single attacks (3.10 each), restores HP (17.50/20.00/25.00) to all allies if 0-1/2-3/4+ allies have any Attach Water","Y","Lowest HP% enemy","70","White Magic","巫女の奇跡","31541218","1005"
"Aria","Rainbow Prayer","Maiden's Prayer","2","Bard, White Magic","WHT","Single ally","","","","0.01","Restores HP (55), grants [Quick Cast 1] and [Pain -1]","N","Lowest HP% ally","70","White Magic","巫女の祈り","31541219","1005"
"Luneth","Silver Wind","Tempest Leap","1","Wind","PHY","Single enemy","Physical","5.40","Wind, NE","1.65","Six single ranged jump attacks (0.90 each)","Y","Lowest HP% enemy","90","Dragoon","疾風の跳躍","31540482","104"
"Luneth","Silver Wind","Spear Squall","2","Wind","PHY","Single enemy","Physical","2.40","Wind, NE","0.01","Three single attacks (0.90 each)","Y","Lowest HP% enemy","60","Celerity","暴風の槍撃","31540483","104"
"Luneth","Dragon's Tornado","Gale Leap","1","Wind","PHY","Single enemy","Physical","6.30","Wind, NE","3.30","Seven single ranged jump attacks (0.90 each), 3.30/2.475/1.65 cast time scaling with uses","Y","Lowest HP% enemy","90","Dragoon","烈風の跳躍","31541180","104"
"Luneth","Dragon's Tornado","Zephyr Force","2","Wind","NAT","Self","","","","0.01","Grants [Instant Cast 1] and [100% Critical 1]","N","Self","70","Dragoon","迅風の力","31541181","104"
"Arc","Invoke Leviath","Aqua Leviath","1","Water","NAT","Single enemy","Hybrid","-","Water, NE","1.65","Six single hybrid attacks (3.05 or 3.10 each), causes [Imperil Water 10% (5s)]","N","Lowest HP% enemy","90","Summoning","アクアリバイア","31540457","105"
"Arc","Invoke Leviath","Saint's Leviath","2","Holy","NAT","Single enemy","Hybrid","-","Holy, NE","1.65","Six single hybrid attacks (3.05 or 3.10 each), causes [Imperil Holy 10% (5s)]","N","Lowest HP% enemy","90","White Magic","セイントリバイア","31540458","106"
"Refia","Searing Circle","Scarlet Flamefist","1","Fire","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each) with additional 20% critical damage","Y","Lowest HP% enemy","90","Monk","緋炎六拳","31540683","100"
"Refia","Searing Circle","Cresting Flames","2","Fire","NAT","Self","","","","0.01","Grants [100% Critical 2] and [Fire Ability +30% Boost 2]","N","Self","70","Monk","炎昇","31540684","100"
"Desch","Life Spark","Chaotic Bolt (Enduring Flash 0)","1","Lightning","BLK","Single enemy","Magical","18.30","Lightning, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","散雷滅却","31540678","102"
"Desch","Life Spark","Chaotic Bolt (Enduring Flash 1)","1","Lightning","BLK","Single enemy","Magical","18.30","Lightning, NE","1.65","Six single attacks (3.05 each), causes Enduring Flash -1 to the user","Y","Lowest HP% enemy","90","Black Magic","散雷滅却","31540678","102"
"Desch","Life Spark","Chaotic Bolt (Enduring Flash 2)","1","Lightning","BLK","Single enemy","Magical","16.40","Lightning, NE","1.65","One single attack (16.40) capped at 99999, grants [Quick Cast 3] to the user, causes Enduring Flash -1 to the user","Y","Lowest HP% enemy","90","Black Magic","散雷滅却","31540678","102"
"Desch","Life Spark","Chaotic Bolt (Enduring Flash 3)","1","Lightning","BLK","Single enemy","Magical","16.40","Lightning, NE","1.65","One single attack (16.40) capped at 99999, causes [Imperil Lightning 20% (15s)], causes Enduring Flash -1 to the user","Y","Lowest HP% enemy","90","Black Magic","散雷滅却","31540678","102"
"Desch","Life Spark","Selfless Call","2","Lightning","NAT","Self","","","","0.01","Grants Enduring Flash +1","N","Self","70","Black Magic","滅私召雷","31540679","102"
"Kain","Blood Dragoon","Sworn Lance","1","Lightning","PHY","Single enemy","Physical","6.40","Lightning, NE","1.65","One single ranged jump attack (6.40) capped at 99999, air time (2.50 sec.)","Y","Lowest HP% enemy","90","Dragoon","誓いの竜槍","30548312","102"
"Kain","Blood Dragoon","Dragoon Thunderbolt","2","Lightning","PHY","Single enemy","Physical","2.70","Lightning, NE","1.65","Three single ranged attacks (0.90 each), grants [Jump High Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Dragoon","竜騎士団の雷楔","30548313","102"
"Kain","Cross Javelin","Shadow Stab","1","Lightning, Dark","PHY","Single enemy","Physical","3.60","Lightning, Dark, NE","1.65","4/8 single ranged jump attacks (0.90 each) if user has Half-Dragon 0/1+, grants [Damage Cap +10000 1] to the user, causes Half-Dragon -1 to the user","Y","Lowest HP% enemy","90","Dragoon","シャドウスタッブ","31540087","2002"
"Kain","Cross Javelin","Shadow Avenger","2","Dragoon","PHY","Single enemy","Physical","2.70","Lightning, Dark, NE","1.65","Three single ranged jump attacks (0.90 each), grants [100% Critical 2], [Dragoon +30% Boost 2] and Half-Dragon +2 to the user","Y","Lowest HP% enemy","90","Dragoon","シャドウアヴェンジャー","31540088","8"
"Rydia","Eidolon Zantetsuken","Wrathful Strike","1","Earth","SUM","Single enemy","Magical","18.30","Earth, NE","1.65","Six single attacks (3.05 each), grants [Quick Cast 1] to the user","N","Lowest HP% enemy","90","Summoning","憤怒の連撃","30543145","103"
