"Character","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID"
"Thief (I)","Invisibreak","","Storm Break","PHY","Single enemy","Physical","2.20","Wind, Poison","1.20","Two single attacks (1.10 each), [DEF -40%] for 15 seconds","N","Random enemy without status","50","Thief","ストームブレイク","30512312"
"Firion","Weaponsmaster","","Chain Strike","PHY","Single enemy","Physical","0.52","Holy, NE","1.65","1/2/3/4/5/6/7/8 single ranged attacks (0.52 each) scaling with uses","Y","Lowest HP% enemy","50","Combat","ウェポンチェイン","30510321"
"Firion","Weaponsmaster","","Chain Launch","PHY","Single enemy","Physical","1.68","Holy, NE","1.65","Four single attacks (0.42 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","50","Combat","チェインムーブ","30510322"
"Maria","Meteor XVI","","Break","BLK","Single enemy","Magical","12.00","Earth, NE","1.65","3/4/5/6 single attacks (2.00 each) at 624/973/1032 MAG, causes [Petrify] (5%)","Y","Lowest HP% enemy","50","Black Magic","ブレイク","30510341"
"Maria","Meteor XVI","","Sunfire","BLK","All enemies","Magical","6.18","Earth, Fire","1.65","Two group attacks (3.09 each), grants [Magic Bargain] to the user for 20 seconds","Y","All enemies","50","Black Magic","太陽の炎","30510342"
"Guy","Gigantbreak","","Stony Fang","PHY","Single enemy","Physical","0.56","Earth, NE","1.65","Four single attacks (0.14 each), multiplier increases with user's ATK","Y","Lowest HP% enemy","50","Combat","狼の猛牙","30511811"
"Guy","Gigantbreak","","Colossal Strength","PHY","All enemies","Physical","1.30","Earth, NE","1.65","Two group attacks (0.65 each), grants [Dark Bargain] to the user for 20 seconds","Y","All enemies","50","Combat","巨漢の豪腕","30511812"
"Leon","Dark Knight's Charge","","Blood Spoils","PHY","Single enemy","Physical","2.30","Dark","1.65","One single attack (2.30), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","50","Darkness","生命の略奪","30510331"
"Leon","Dark Knight's Charge","","Ambition's Price","PHY","Single enemy","Physical","2.06","Dark","1.65","Two single attacks (1.03 each), grants [Hailstorm] to the user for 20 seconds","Y","Lowest HP% enemy","50","Darkness","野心の代償","30510332"
"Minwu","Seal of Heaven","","Cure X","WHT","Single ally","Magical","4.00","Holy","0.01","Restores HP (105), damages undeads","Y","Lowest HP% ally","50","White Magic","ケアル10","30510351"
"Minwu","Seal of Heaven","","Sap XVI","WHT","All enemies","Magical","6.08","Holy","1.65","Two group attacks (3.04 each), [MAG and MND -20%] for 15 seconds","Y","All enemies","50","White Magic","アンチ16","30510352"
"Minwu","Holy XVI","","Magic Emblem","WHT","Single enemy","Magical","10.40","Holy, NE","1.65","Four single attacks (2.60 each)","Y","Lowest HP% enemy","50","White Magic","破魔の印","30512441"
"Minwu","Holy XVI","","Light of Relief","WHT","Single ally","Magical","4.00","Holy","0.01","Restores HP (105), damages undeads","Y","Lowest HP% ally","50","White Magic","快癒の光","30512442"
"Gordon","Egil's Blaze","","Royal Resolve","PHY","Single enemy","Physical","2.30","NE","1.65","One single attack (2.30), [ATK -40%] for 15 seconds","Y","Random enemy without status","50","Support","王族の覚悟","30511111"
"Gordon","Egil's Blaze","","Survivor's Will","PHY","Single enemy","Physical","2.30","NE","1.65","One single attack (2.30), [DEF -40%] for 15 seconds","Y","Random enemy without status","50","Support","生き残りの意地","30511112"
"Leila","Poison Cloud XVI","","Poison Sting","PHY","Single enemy","Physical","1.88","Poison, NE","0.60","Four single attacks (0.47 each)","Y","Lowest HP% enemy","50","Thief","ポイズンスティング","30511101"
"Leila","Poison Cloud XVI","","Pirate's Venom","PHY","Single enemy","Physical","1.72","Poison, NE","1.20","Two single attacks (0.86 each), [ATK and MND -20%] for 20 seconds, [ATK and MND +20%] to the user for 20 seconds","Y","Random enemy without status","50","Thief","女海賊の毒牙","30511102"
"Ricard","Pride of Deist","","Dragon Bloodwind","PHY","Single enemy","Physical","1.96","Wind, NE","1.65","Two single ranged attacks (0.98 each), grants [No Air Time 2] to the user","Y","Lowest HP% enemy","50","Dragoon","竜騎士団の嵐血","30511891"
"Ricard","Pride of Deist","","Wyvern's Grace","PHY","Single enemy","Physical","1.88","Wind, NE","1.65","Four single attacks (0.47 each), grants [Dragoon +9% Boost 3] to the user","Y","Lowest HP% enemy","50","Dragoon","飛竜の加護","30511892"
"Josef","Undaunted Hero","","Ice Breaker","PHY","Single enemy","Physical","1.41","Ice, NE","1.65","Three single attacks (0.47 each), six attacks if the user has [Unbound Fury]","Y","Lowest HP% enemy","50","Monk","砕氷の怪腕","30511881"
"Josef","Undaunted Hero","","Man of Snow","PHY","Single enemy","Physical","1.88","Ice, NE","1.65","Four single attacks (0.47 each), grants [Unbound Fury] to the user for 25 seconds","Y","Lowest HP% enemy","50","Monk","雪原の男気","30511882"
"Emperor","Winds of War","","Binding Gale","BLK","Single enemy","Magical","8.68","Wind, Dark","1.65","Four single attacks (2.17 each), causes [Stun] (9%)","Y","Lowest HP% enemy","50","Black Magic","封縛の風陣","30511251"
"Emperor","Winds of War","","Leeching Winds","BLK","Single enemy","Magical","7.96","Wind, Dark","1.65","One single attack (7.96), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","50","Black Magic","生奪いし風","30511252"
"Emperor","Hell's Maw","","Ruthless Ploy","BLK","Single enemy","Magical","7.72","Earth, Dark","1.65","Four single attacks (1.93 each), grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","50","Black Magic","無情の陥穽","30512431"
"Emperor","Hell's Maw","","Onyx Crest","BLK","Single enemy","Magical","4.06","Earth, Dark","1.65","Two single attacks (2.03 each), [MAG -50%] for 15 seconds","Y","Random enemy without status","50","Black Magic","漆黒の紋章","30512432"
"Hilda","Prayer for Peace","","Graceful Minuet","WHT","Single ally","Magical","4.00","Holy","0.01","Restores HP (105), damages undeads","Y","Lowest HP% ally","50","White Magic","祝福のメヌエット","30512901"
"Hilda","Prayer for Peace","","Song of Tranquility","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","安らぎの歌","30512902"
"Scott","Scathing Sun","","Mark of Destruction","PHY","Single enemy","Physical","1.68","Fire, NE","1.65","Three single attacks (0.56 each), grants [Spellblade +15% Boost 3] to the user","Y","Lowest HP% enemy","50","Spellblade","魔印・爆裂斬","30511901"
"Scott","Scathing Sun","","Fiery Vanguard","PHY","All enemies","Physical","1.30","Fire, NE","1.65","Two group attacks (0.65 each), grants [Dark Bargain] to the user for 20 seconds","Y","Lowest HP% enemy","50","Spellblade","先駆けの炎斬","30511902"
"Luneth","Eternal Wind","","Pummeling Gale","PHY","Single enemy","Physical","1.96","Wind, NE","1.65","Four single ranged attacks (0.49 each), causes [Stun] (9%)","Y","Lowest HP% enemy","50","Combat","疾風の連撃","30510461"
"Luneth","Eternal Wind","","Roaring Winds","PHY","All enemies","Physical","1.30","Wind, NE","1.65","Two group ranged attacks (0.65 each), grants [Hailstorm] to the user for 20 seconds","Y","All enemies","50","Combat","暴風の猛撃","30510462"
"Arc","Auroral Grace","","Dedication to Purity","WHT","Single","Magical","3.00","Holy","1.65","Restores HP (80), damages undeads, removes negative effects","N","Lowest HP% ally","50","White Magic","浄化の心得","30511221"
"Arc","Auroral Grace","","Dedication to Healing","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","N","All allies","50","White Magic","治癒の心得","30511222"
"Arc","Break of Valor","","Dia Deluge","WHT","Single enemy","Magical","10.40","Holy, Water","1.65","Four single attacks (2.60 each)","Y","Lowest HP% enemy","50","White Magic","ディアウォータ","30511951"
"Arc","Break of Valor","","Dia Cure","WHT","Single ally","Magical","4.00","Holy","1.65","Restores HP (105), damages undeads, [MND +30%] for 25 seconds","Y","Lowest HP% ally","50","White Magic","ディアケアル","30511952"
"Refia","Dance of Carnage","","Riddle of the Flame","PHY","Single enemy","Physical","1.96","Fire, NE","1.65","Four single ranged attacks (0.49 each), 50% additional critical damage","Y","Lowest HP% enemy","50","Monk","焔の極意","30510491"
"Refia","Dance of Carnage","","Fires of Carnage","PHY","All enemies","Physical","1.30","Fire, NE","1.65","Two group ranged attacks (0.65 each), grants [Dark Bargain] to the user for 20 seconds","Y","All enemies","50","Monk","修羅の炎陣","30510492"
"Ingus","Oathsworn Espada","","Tour de Force","PHY","Single enemy","Physical","1.96","Earth, NE","1.65","Two single attacks (0.98 each), grants [Sentinel] to the user for 25 seconds","Y","Lowest HP% enemy","50","Knight","騎士の妙技","30510481"
"Ingus","Oathsworn Espada","","Secrets of Sasune","PHY","Single enemy","Physical","1.96","Earth, NE","1.65","Two single attacks (0.98 each), grants [Retaliate] to the user for 15 seconds","Y","Lowest HP% enemy","50","Knight","サスーンの秘伝","30510482"
"Ingus","Faith Escutcheon","","Titan Drive","PHY","Single enemy","Physical","1.95","Earth, NE","1.65","Three single attacks (0.65 each), grants [Knight +15% Boost 3] to the user","Y","Lowest HP% enemy","50","Knight","ティターンドライブ","30512201"
"Ingus","Faith Escutcheon","","Aegis Form","NAT","Self","","","","1.65","[ATK and DEF +50%] for 20 seconds","Y","Self","50","Knight","イージスフォーム","30512202"
"Desch","Ancient Lightning","","Heavenly Drum","BLK","Single enemy","Magical","8.00","Lightning, NE","1.65","Four single attacks (2.00 each), grants [Magical Quick Cast 1] to the user","Y","Lowest HP% enemy","50","Black Magic","古の天鼓","30511231"
"Desch","Ancient Lightning","","Become the Lightning","BLK","All enemies","Magical","6.18","Lightning, NE","1.65","Two group attacks (3.09 each), grants [Magic Bargain] to the user for 20 seconds","Y","All enemies","50","Black Magic","滅私の稲妻","30511232"
"Onion Knight","Vessel of Fate","","Extra Slice","PHY","Single enemy","Physical","1.88","NE","1.65","Four single attacks (0.47 each), grants [Physical Instant Cast 1] to the user","Y","Lowest HP% enemy","50","Celerity","追加斬り","30510471"
"Onion Knight","Vessel of Fate","","Swiftspell","BLK","Single enemy","Magical","9.00","NE","1.65","Four single attacks (2.25 each), grants [Magical Instant Cast 1] to the user","Y","Lowest HP% enemy","50","Black Magic","速攻だいまほう","30510472"
"Cloud of Darkness","Fusillade Particle Beam","","Aura Ball of Confounding","BLK","Single enemy","Magical","10.20","Dark, Holy","1.65","Four single attacks (2.55 each), causes [Silence] (7%) and [Blind] (7%)","Y","Lowest HP% enemy","50","Black Magic","封・波動球","30511241"
"Cloud of Darkness","Fusillade Particle Beam","","Aura Ball of Binding","BLK","Single enemy","Magical","10.20","Dark, Holy","1.65","Four single attacks (2.55 each), causes [Paralyze] (7%) and [Stop] (7%)","Y","Lowest HP% enemy","50","Black Magic","縛・波動球","30511242"
"Cloud of Darkness","0-Form Particle Beam","","Exploding Aura Ball","BLK","Single enemy","Magical","8.16","Dark, NE","1.65","Three single attacks (2.72 each), grants [Darkness +15% Boost 3] to the user","Y","Lowest HP% enemy","50","Black Magic","炸裂式 波動球","30512211"
"Cloud of Darkness","0-Form Particle Beam","","Empowered Aura Ball","BLK","Single enemy","Magical","6.30","Dark, NE","1.65","Two single attacks (3.15 each), grants [Magic Bargain] to the user for 20 seconds","Y","Lowest HP% enemy","50","Black Magic","強化式 波動球","30512212"
"Aria","Maiden of Water","","Clarion Prayer","WHT","Single ally","Magical","4.00","Holy","0.01","Restores HP (80), damages undeads, grants [High Regen]","Y","Lowest HP% ally","50","White Magic","澄んだ祈り","30511961"
"Aria","Maiden of Water","","Fleeting Wish","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","儚き願い","30511962"
"Cecil (Dark Knight)","Dark Flame","","Onyx Wave","PHY","Single enemy","Physical","2.16","Dark, NE","1.65","Four single attacks (0.54 each), ATK increases as HP decreases","Y","Lowest HP% enemy","50","Darkness","漆黒","30510851"
"Cecil (Dark Knight)","Dark Flame","","Nightfall","PHY","All enemies","Physical","2.00","Dark, NE","1.65","Two group attacks (1.00 each), damages the user for 10% max HP","Y","All enemies","50","Darkness","ダークフォール","30510852"
"Cecil (Dark Knight)","Abyss Gate","","Shadow Slice","PHY","Single enemy","Physical","2.16","Dark, NE","1.65","Four single attacks (0.54 each)","Y","Lowest HP% enemy","50","Darkness","シャドウスラッシュ","30512541"
"Cecil (Dark Knight)","Abyss Gate","","Evil Drive","PHY","Single enemy","Physical","1.68","Dark, NE","1.65","Three single attacks (0.56 each), grants [Darkness +15% Boost 3] to the user","Y","Lowest HP% enemy","50","Darkness","イビルドライブ","30512542"
"Cecil (Paladin)","Paladin Force","","Blessed Weapon","PHY","Single enemy","Physical","2.30","Holy","1.65","One single attack (2.30), restores HP (60) to the user","Y","Lowest HP% enemy","50","Combat","ブレスウェポン","30510051"
"Cecil (Paladin)","Paladin Force","","Sacred Circle","PHY","All enemies","Physical","1.58","Holy","1.65","Two group attacks (0.79 each)","Y","All enemies","50","Combat","セイクリッドサークル","30510052"
"Cecil (Paladin)","Radiant Blast","","Paladin's Charge","PHY","Single enemy","Physical","2.90","Holy, NE","1.65","3/4/5 single attacks (0.58 each) if the user has taken 3/7 attacks","Y","Lowest HP% enemy","50","Knight","パラディンフォーム","30511731"
"Cecil (Paladin)","Radiant Blast","","Light Slash","PHY","Single enemy","Physical","2.32","Holy, NE","1.65","Four single attacks (0.58 each), [RES +100%] to the user for 20 seconds","Y","Lowest HP% enemy","50","Knight","ライトスラッシュ","30511732"
"Kain","Dragoon's Pride","","Stormblood Dragon","PHY","Single enemy","Physical","2.06","Lightning","1.65","Two single ranged attacks (1.03 each), grants [No Air Time 2] to the user","Y","Lowest HP% enemy","50","Dragoon","竜騎士団の雷血","30510431"
"Kain","Dragoon's Pride","","Triumphant Lancet","PHY","Single enemy","Physical","2.06","Lightning","1.65","Two single ranged attacks (1.03 each), smart ether 1 to the user","Y","Lowest HP% enemy","50","Dragoon","誇りの竜剣","30510432"
"Rydia","Mournful Cry","","Gaia's Strike","SUM","Single enemy","Magical","8.96","Earth, NE","1.65","Four single attacks (2.24 each), minimum damage 1100","N","Lowest HP% enemy","50","Summoning","大地の一撃","30510451"
"Rydia","Mournful Cry","","Gaia's Fury","SUM","All enemies","Magical","6.28","Earth, NE","1.65","Two group attacks (3.14 each), minimum damage 1100","N","All enemies","50","Summoning","大地の咆哮","30510452"
"Rydia","Law of the Eidolons","","Gift of the Eidolon King","SUM","Single enemy","Magical","7.80","Water, Holy","1.65","Four single attacks (1.95 each), minimum damage 1100, grants [Magical Quick Cast 2] to the user","N","Lowest HP% enemy","50","Summoning","幻獣王の加護","30512071"
"Rydia","Law of the Eidolons","","Gift of the Eidolon Queen","SUM","Single enemy","Magical","8.56","Water, Holy","1.65","Two single attacks (4.28 each), minimum damage 1100, smart ether 1 to the user","N","Lowest HP% enemy","50","Summoning","幻獣王妃の加護","30512072"
"Rosa","Holy Ray","","Wall of Light","WHT","Single ally","Magical","4.00","Holy","1.65","Restores HP (105), grants [Magical Blink 1], damages undeads","Y","Lowest HP% ally","50","White Magic","ホワイトウォール","30510861"
"Rosa","Holy Ray","","Ripple of Life","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","ヒールウェイブ","30510862"
"Edward","Whisperweed Ballad","","Soothing Lullaby","PHY","Single enemy","Physical","1.95","Holy","1.65","One single ranged attack (1.95), [ATK and MAG -20%] for 15 seconds, causes [Sap] to the user","Y","Random enemy","50","Support","沈静のララバイ","30510441"
"Edward","Whisperweed Ballad","","Baneful Nocturne","PHY","Single enemy","Physical","1.95","Holy","1.65","One single ranged attack (1.95),  [DEF and RES -20%] for 15 seconds, causes [Sap] to the user","Y","Random enemy","50","Support","虚脱のノクターン","30510442"
"Yang","Seven-Star Heavenly Fist","","Crushing-Rock Blow","PHY","Single enemy","Physical","1.88","Earth, NE","1.65","Four single attacks (0.47 each), five attacks if the user has [Unbound Fury]","Y","Lowest HP% enemy","50","Monk","崩岩連打","30511371"
"Yang","Seven-Star Heavenly Fist","","Explosive Fists","PHY","Single enemy","Physical","2.04","Earth, NE","1.65","Four single attacks (0.51 each), grants [Unbound Fury] to the user for 25 seconds","Y","Lowest HP% enemy","50","Monk","爆進連撃","30511372"
"Palom","Tri-Disaster","","Bomb Thunder","BLK","Single enemy","Magical","9.20","Fire, Lightning","1.65","Four single attacks (2.30 each), grants [Magical Instant Cast 1] to the user if exploiting elemental weakness","Y","Lowest HP% enemy","50","Black Magic","ボムサンダー","30511381"
"Palom","Tri-Disaster","","Ice Thunder","BLK","Single enemy","Magical","9.20","Ice, Lightning","1.65","Four single attacks (2.30 each), grants [Magical Instant Cast 1] to the user if exploiting elemental weakness","Y","Lowest HP% enemy","50","Black Magic","アイスサンダー","30511382"
"Porom","Healing Wind (IV)","","Mysidia's Light","WHT","Single ally","Magical","3.00","Holy","1.65","Restores HP (80), damages undeads, removes KO [Raise: 20%]","N","Ally with KO or lowest HP% ally","50","White Magic","ミシディアの光印","30511391"
"Porom","Healing Wind (IV)","","Cure Wave","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","N","All allies","50","White Magic","ケアルウェイブ","30511392"
"Tellah","Sage's Sagacity","","Sage's Secrets","BLK","Single enemy","Magical","12.00","Earth, NE","1.65","Four single attacks (2.35/2.65/3.00 each) at 650/1200 MAG","Y","Lowest HP% enemy","50","Black Magic","賢者の秘術","30512061"
"Tellah","Sage's Sagacity","","Forbidden Recollection","BLK","All enemies","Magical","7.86","Earth, NE","1.65","Two group attacks (3.93 each), grants [Magic Bargain] to the user for 20 seconds","Y","All enemies","50","Black Magic","追想の禁術","30512062"
"Edge","Seething Waters","","Water Barrage","PHY","Single enemy","Physical","1.88","Water, NE","0.83","Four single attacks (0.47 each)","Y","Lowest HP% enemy","50","Ninja","水鉄砲の術","30510531"
"Edge","Seething Waters","","Raging Seas","PHY","All enemies","Physical","1.20","Water, NE","0.83","Two group attacks (0.60 each)","Y","All enemies","50","Ninja","荒水行の術","30510532"
"Fusoya","Lunarian Prayer","","Moonlight's Blessing","BLK","Single enemy","Magical","4.40","Holy, NE","1.65","Two single attacks (2.20 each)","Y","Lowest HP% enemy","50","Black Magic","月光の加護","30512551"
"Fusoya","Lunarian Prayer","","Moonlight's Seal","BLK","Single enemy","Magical","6.90","Holy, NE","1.65","3/4/5/6 single attacks (2.30/2.35/2.40/3.00 each) scaling with Moonlight's Blessing uses","Y","Lowest HP% enemy","50","Black Magic","月光の刻印","30512552"
"Golbez","Twin Moon","","Shadow Dragon","SUM","Self","","","","1.65","Grants [Summon Shadow Dragon] and [Stoneskin: 30%]","N","Self","50","Summoning","黒竜召喚","30510891"
"Golbez","Twin Moon","","Shadow Dragon (S)","SUM","All enemies","Magical","17.20","Dark","1.65","Four group attacks (4.30 each), minimum damage 1100, removes [Summon Shadow Dragon] to the user","N","All enemies","50","Summoning","黒竜召喚","30510891"
"Golbez","Twin Moon","","Glare Hand","BLK","Single enemy","Magical","10.20","Dark","1.65","Four single attacks (2.55 each)","Y","Lowest HP% enemy","50","Black Magic","グレアハンド","30510892"
"Golbez","Twin Moon","","Glare Hand (S)","BLK","Single enemy","Magical","10.20","Dark","1.65","Four single attacks (2.55 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","50","Black Magic","グレアハンド","30510892"
"Golbez","Abyssal Quasar","","Rising Wave","BLK","Single enemy","Magical","10.48","Dark, NE","1.65","Four single attacks (2.62 each)","Y","Lowest HP% enemy","50","Black Magic","ライズウェイブ","30512761"
"Golbez","Abyssal Quasar","","Attack System","BLK","Single enemy","Magical","7.95","Dark, NE","1.65","Three single attacks (2.65 each), grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","50","Black Magic","迎撃システム","30512762"
"Cid (IV)","Falcon Drill","","Lightning Hammer","PHY","Single enemy","Physical","2.20","Lightning, NE","1.65","Two single attacks (1.10 each), [MAG -50%] for 15 seconds","Y","Random enemy without status","50","Machinist","雷カナヅチ","30511751"
"Cid (IV)","Falcon Drill","","Thunderbolt Wrench","PHY","Single enemy","Physical","2.20","Lightning, NE","1.65","Two single attacks (1.10 each), [DEF -40%] for 15 seconds","Y","Random enemy without status","50","Machinist","稲妻スパナ","30511752"
"Ceodore","Holy Cross","","Curing Cut","PHY","Single enemy","Physical","2.20","Holy, NE","1.65","Four single attacks (0.55 each), restores HP to the lowest HP% ally for 25% of their maximum HP","Y","Lowest HP% enemy","50","Knight","ケアルスラッシュ","30511361"
"Ceodore","Holy Cross","","Esuna Blade","PHY","All enemies","Physical","1.58","Holy, NE","1.65","Two group attacks (0.79 each), removes negative effects to a random ally with negative effects","Y","All enemies","50","Knight","エスナブレード","30511362"
"Rubicante","Trueflame Inferno","","Avatar of Flame","BLK","Self","","","","1.65","Grants [Fire Cloak] and [Magical Blink 1]","Y","Self","50","Black Magic","ほむらのかた","30511741"
"Rubicante","Trueflame Inferno","","Avatar of Flame (S)","BLK","Single enemy","Magical","8.84","Fire, NE","1.65","Four single attacks (2.21 each), removes [Fire Cloak] to the user","Y","Lowest HP% enemy","50","Black Magic","ほむらのかた","30511741"
"Rubicante","Trueflame Inferno","","Rain of Fire","BLK","All enemies","Magical","5.90","Fire, NE","1.65","Two group attacks (2.95 each)","Y","All enemies","50","Black Magic","かえんげき","30511742"
"Rubicante","Trueflame Inferno","","Rain of Fire (S)","BLK","All enemies","Magical","8.85","Fire, NE","1.65","Three group attacks (2.95 each)","Y","All enemies","50","Black Magic","かえんげき","30511742"
