"Type","Target","Formula","Multiplier","Element","Time","Effects","Auto Target","SB","Max","ID"
"BLK","Single","Magical","5.00","Dark","1.80","One single attack (5.00)","Lowest HP% enemy","60","10","30111051"
"BLK","Single","Magical","9.00","Dark","1.80","One single attack (9.00)","Lowest HP% enemy","70","10","30111052"
"BLK","Single","","","","1.80","Causes [Instant KO] (70%)","Random enemy","75","5","30111061"
"BLK","Single","Magical","13.25","NE","1.80","Five single attacks (2.65 each)","Lowest HP% enemy","100","10","30111071"
"BLK","Single","","","","1.80","Causes [Sleep] (30%)","Random enemy without status","60","10","30111081"
"BLK","Single","","","","1.80","Causes [Poison] (30%)","Random enemy without status","60","10","30111091"
"BLK","Single","","","","1.80","Causes [Confuse] (30%)","Random enemy without status","60","10","30111101"
"BLK","Single","","","","1.80","Damages for 50% of the target's current HP, resisted via Instant KO","Lowest HP% enemy","65","10","30111111"
"BLK","Single","","","","1.80","Causes [Stop] (70%)","Random enemy without status","65","10","30111121"
"BLK","Single","Magical","5.10","NE","1.80","One single attack (5.10)","Lowest HP% enemy","65","10","30111131"
"BLK","Single","","","","1.80","Causes [Petrify] (25%)","Random enemy without status","75","10","30111141"
"BLK","All enemies","Magical","5.60","Earth","1.80","One group attack (5.60)","All enemies","70","10","30111151"
"BLK","All enemies","Magical","2.00","Fire","1.65","One group attack (2.00)","All enemies","55","10","30111161"
"BLK","All enemies","Magical","2.00","Water","1.65","One group attack (2.00)","All enemies","55","10","30111171"
"BLK","All enemies","Magical","10.50","NE","1.80","Three group attacks (3.50 each)","All enemies","100","10","30111181"
"BLK","Single","","","","1.80","Causes [Blind] (30%)","Random enemy without status","60","12","30111201"
"BLK","Single","","","","1.80","Causes [Blind] (60%)","Random enemy without status","65","12","30111202"
"BLK","Single","Magical","3.00","NE","1.80","One group attack (3.00)","Lowest HP% enemy","60","10","30111211"
"BLK","All enemies","Magical","5.90","NE","1.80","One group attack (5.90)","All enemies","75","10","30111213"
"BLK","All enemies","Magical","2.00","Ice","1.65","One group attack (2.00)","All enemies","55","10","30111221"
"BLK","All enemies","Magical","2.00","Lightning","1.65","One group attack (2.00)","All enemies","55","10","30111231"
"BLK","All enemies","Magical","12.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.80","Three group attacks (4.00 each)","All enemies","90","10","30111241"
"BLK","Single","Magical","14.80","Fire, Wind, Earth","1.80","Four single attacks (3.70 each)","Lowest HP% enemy","90","10","30111251"
"BLK","Single","Magical","11.80","Ice","1.80","Four single attacks (2.95 each)","Lowest HP% enemy","75","10","30111261"
"BLK","Single","Magical","15.25","Ice","1.80","Five single attacks (3.05 each)","Lowest HP% enemy","90","10","30111262"
"BLK","Single","Magical","11.80","Fire","1.80","Four single attacks (2.95 each)","Lowest HP% enemy","75","10","30111271"
"BLK","Single","Magical","15.25","Fire","1.80","Five single attacks (3.05 each)","Lowest HP% enemy","90","10","30111272"
"BLK","Single","Magical","1.50","Earth","1.80","One single attack (1.50)","Lowest HP% enemy","55","10","30111291"
"BLK","Single","Magical","2.90","Earth","1.80","One single attack (2.90)","Lowest HP% enemy","55","10","30111292"
"BLK","Single","Magical","4.90","Earth","1.80","One single attack (4.90)","Lowest HP% enemy","60","10","30111293"
"BLK","Single","Magical","9.00","Earth","1.80","One single attack (9.00)","Lowest HP% enemy","70","10","30111294"
"BLK","Single","Magical","11.80","Earth","1.80","Four single attacks (2.95 each)","Lowest HP% enemy","75","10","30111295"
"BLK","Single","Magical","11.80","Lightning","1.80","Four single attacks (2.95 each)","Lowest HP% enemy","75","10","30111301"
"BLK","Single","Magical","15.25","Lightning","1.80","Five single attacks (3.05 each)","Lowest HP% enemy","90","10","30111302"
"BLK","Single","Magical","11.80","Poison","1.80","Four single attacks (2.95 each), causes [Poison] (3%)","Lowest HP% enemy","75","10","30111311"
"BLK","Single","Magical","11.80","Water","1.80","Four single attacks (2.95 each)","Lowest HP% enemy","75","10","30111321"
"BLK","Single","Magical","15.25","Water","1.80","Five single attacks (3.05 each)","Lowest HP% enemy","90","10","30111322"
"BLK","Single","Magical","11.80","Wind","1.80","Four single attacks (2.95 each)","Lowest HP% enemy","75","10","30111331"
"BLK","Single","Magical","14.80","Ice, Water, Lightning","1.80","Four single attacks (3.70 each)","Lowest HP% enemy","90","10","30111341"
"BLK","Single","Magical","15.25","Earth","1.80","Five single attacks (3.05 each)","Lowest HP% enemy","90","10","30111351"
"BLK","Single enemy","Magical","15.25","Wind","1.80","Five single attacks (3.05 each)","Lowest HP% enemy","90","10","30111361"
"BLK","Single","Magical","4.50","Dark","1.80","One single attack (4.50), heals the user for 30% of the damage dealt","Highest HP% enemy","60","10","30991001"
"BLK","Single","Magical","7.00","Dark","1.80","One single attack (7.00), heals the user for 30% of the damage dealt","Highest HP% enemy","70","10","30991003"
"BLK","Single","Magical","17.50","Wind, Water, Fire, Earth","1.80","Five single attacks (3.50 each)","Lowest HP% enemy","90","10","30111371"
"BLK","Single","Magical","21.00","Earth","1.80","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111381"
"BLK","Single enemy","Magical","19.95","Ice","2.60","Seven single attacks (2.85 each)","Lowest HP% enemy","90","10","30111391"
"BLK","Single enemy","Magical","21.00","Fire","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111401"
"BLK","Single enemy","Magical","13.20","Fire, Earth","0.01","Four single attacks (3.30 each)","Lowest HP% enemy","70","10","30111411"
"BLK","Single enemy","Magical","9.90","Wind, Lightning","1.65","Three single attacks (3.30 each), grants [Instant Cast 1] to the user","Lowest HP% enemy","90","10","30111421"
"BLK","Single enemy","Magical","32.40","Fire, Wind","1.65","Four single attacks (3.50 each), followed by one single attack (18.40) that ignores RES","Lowest HP% enemy","90","10","30111431"
"BLK","Single enemy","Magical","17.50","Earth","1.65","Five single attacks (3.50 each), causes [Imperil Earth 10%] for 5 seconds","Lowest HP% enemy","90","10","30111441"
"BLK","Single enemy","Magical","17.50","Wind","0.01","Five single attacks (3.50 each)","Lowest HP% enemy","70","10","30111451"
"BLK","Single enemy","Magical","21.00","Water","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111461"
"BLK","Single","Magical","21.00","Lightning","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111471"
"BLK","Single","Magical","21.00","Fire","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111481"
"BLK","Single","Magical","17.50","Ice","0.01","Five single attacks (3.50 each)","Lowest HP% enemy","70","10","30111491"
"BLK","Single","Magical","13.20","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Four single attacks (3.30 each)","Lowest HP% enemy","90","10","30111501"
"BLK","Single","Magical","21.00","Fire","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111511"
"BLK","Single","Magical","21.00","Water","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111521"
"BLK","Single enemy","Magical","9.90","Dark, Earth, Wind","1.65","Three single attacks (3.30 each), causes [Imperil Dark 10% (5s)], [Imperil Earth 10% (5s)] and [Imperil Wind 10% (5s)]","Lowest HP% enemy","90","10","30111531"
"BLK","Single enemy","Magical","21.00","Holy","1.65","Six single attacks (3.50 each), removes [Haste] every second activation","Lowest HP% enemy","90","10","30111561"
"BLK","Single enemy","Magical","32.40","Wind","1.65","Four single attacks (3.50 each), followed by one single attack (18.40) that ignores RES","Lowest HP% enemy","90","10","30111551"
"BLK","Single","Magical","21.00","Earth, Holy","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111541"
"NAT","Single enemy","Hybrid","-","Wind","1.65","Six single ranged hybrid attacks (1.10 or 3.50 each), removes negative effects from all allies every four uses","Lowest HP% enemy","90","10","30111571"
"NAT","Single enemy","Hybrid","-","Fire, Ice, Wind, Earth, NE","1.65","Five single hybrid attacks (1.10 or 3.50 each)","Lowest HP% enemy","90","10","30111581"
"BLK","Single enemy","Magical","13.20","Lightning","1.65","Four single attacks (3.30 each), grants [Buff Lightning 10% (15s)] to all allies every third activation","Lowest HP% enemy","90","10","30111591"
"BLK","Single enemy","Magical","32.40","Earth","1.65","Four single attacks (3.50 each), followed by one single attack (18.40) that ignores RES","Lowest HP% enemy","90","10","30111601"
"BLK","Single","Magical","17.50","Wind, Dark","1.65","Five single attacks (3.50 each)","Lowest HP% enemy","90","10","30111611"
"BLK","Single enemy","Magical","17.50","Water","1.65","Five single attacks (3.50 each), causes [Imperil Water 10% (5s)] every second activation","Lowest HP% enemy","90","10","30111621"
"BLK","Single enemy","Magical","17.50","Ice, Lightning","1.65","Five single attacks (3.50 each)","Lowest HP% enemy","90","10","30111631"
"BLK","Single","Magical","21.00","Wind","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111641"
"BLK","Single","Magical","17.50","Wind","1.65","Five single attacks (3.50 each), causes [Imperil Wind 10% (5s)]","Lowest HP% enemy","90","10","30111651"
"BLK","Single","Magical","17.50","Water, Poison","0.01","Five single attacks (3.50 each)","Lowest HP% enemy","70","10","30111661"
"BLK","Single","Magical","17.50","Water","1.65","Five single attacks (3.50 each), causes [Imperil Water 10% (5s)]","Lowest HP% enemy","90","10","30111671"
"BLK","Single","Magical","17.50","Lightning, Fire, Ice","1.65","Five single attacks (3.50 each)","Lowest HP% enemy","90","10","30111681"
"BLK","Single","Magical","17.50","Fire","1.65","Five single attacks (3.50 each), causes [Imperil Fire 10% (5s)]","Lowest HP% enemy","90","10","30111691"
"BLK","Single enemy","Magical","15.25","Poison","1.80","Five single attacks (3.05 each), causes [Poison] (30%)","Lowest HP% enemy","90","10","30111701"
"BLK","Single","Magical","17.50","Dark, Earth, Wind","1.65","Five single attacks (3.50 each)","Lowest HP% enemy","90","10","30111721"
"BLK","Single","Magical","21.00","Wind, Lightning","2.60","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111711"
"BLK","Single","Magical","17.50","Ice, Dark","1.65","Five single attacks (3.50 each)","Lowest HP% enemy","90","10","30111741"
"BLK","Single enemy","Magical","21.00","Lightning","1.65","Six single attacks (3.50 each)","Lowest HP% enemy","90","10","30111731"
"BLK","Single enemy","Magical","17.50","Ice, Lightning, Water, Wind","1.65","Five single attacks (3.50 each)","Lowest HP% enemy","90","10","30111751"
"BLK","Single enemy","Magical","15.25","Dark","1.80","Five single attacks (3.05 each)","Lowest HP% enemy","90","10","30111761"
"BLK","Single enemy","Magical","?","Ice","?","Seven single attacks (? each)","Lowest HP% enemy","?","10","30111771"
"NAT","SIngle enemy","Hybrid","?","Poison","?","Six single attacks (? or ? each)","Lowest HP% enemy","?","10","30111781"
"WHT","Single","Magical","1.20","Holy","1.50","Restores HP (30), damages undeads","Lowest HP% ally","60","12","30121001"
"WHT","Single","Magical","2.00","Holy","1.50","Restores HP (55), damages undeads","Lowest HP% ally","60","12","30121002"
"WHT","Single","Magical","3.00","Holy","1.50","Restores HP (80), damages undeads","Lowest HP% ally","65","12","30121003"
"WHT","Single","Magical","4.00","Holy","1.50","Restores HP (105), damages undeads","Lowest HP% ally","75","12","30121004"
"WHT","Single ally","Magical","4.00","Holy","1.50","Restores HP (105), damages undeads, grants [HP Stock (2000)]","Lowest HP% ally","100","12","30121005"
"WHT","Single","","","","1.50","Removes [Silence]","Random ally with status","60","12","30121010"
"WHT","Single","","","","1.50","Removes [Poison]","Random ally with status","60","12","30121020"
"WHT","Single","","","","1.50","Removes [Blind]","Random ally with status","60","12","30121030"
"WHT","Single","","","","1.50","Grants [Protect]","Random ally without status","60","12","30121040"
"WHT","All allies","","","","1.50","Grants [Protect]","All allies","75","10","30121042"
"WHT","Single","","","","1.50","Grants [Shell]","Random ally without status","60","12","30121051"
"WHT","All allies","","","","1.50","Grants [Shell]","All allies","75","10","30121052"
"WHT","Single","","","","1.50","Causes [Silence] (30%)","Random enemy without status","60","12","30121061"
"WHT","Single","","","","1.50","Causes [Silence] (60%)","Random enemy without status","65","12","30121062"
"WHT","Single","","","","1.50","Causes [Slow] (30%)","Random enemy without status","60","12","30121071"
"WHT","Single","","","","1.50","Causes [Slow] (80%)","Random enemy without status","75","12","30121072"
"WHT","Single","","","","1.50","Grants [Low Regen]","Random ally without status","60","12","30121081"
"WHT","Single","","","","1.50","Removes [Petrify]","Random ally with status","60","12","30121091"
"WHT","Single","","","","1.50","Grants [Haste]","Random ally without status","65","12","30121101"
"WHT","All allies","","","","1.50","Grants [Haste]","All allies","85","10","30121102"
"WHT","Single","","","","1.50","Removes negative effects","Random ally with status","65","10","30121111"
"WHT","Single","","","","1.50","Removes KO [Raise: 20%], causes [Instant KO] (100%) to undeads","Random ally with status","75","10","30121121"
"WHT","Single","Magical","12.00","Holy","1.50","Four single attacks (3.00 each)","Lowest HP% enemy","75","10","30121131"
"WHT","Single","","","","1.50","Causes [Paralyze] (1%)","Random enemy without status","60","12","30121141"
"WHT","Single","Magical","2.20","Holy","1.50","One single attack (2.20)","Lowest HP% enemy","55","12","30121161"
"WHT","Single","Magical","4.20","Holy","1.50","One single attack (4.20)","Lowest HP% enemy","60","12","30121162"
"WHT","Single","Magical","8.30","Holy","1.65","One single attack (8.30)","Lowest HP% enemy","70","12","30121164"
"WHT","Single","","","","1.50","Removes positive effects","Random enemy with status","65","10","30121171"
"WHT","Single","","","","1.50","Causes [Berserk] (50%)","Random enemy without status","65","10","30121181"
"WHT","Single","","","","1.65","[ATK +30%] for 25 seconds","Random ally","65","10","30121191"
"WHT","Single","","","","1.65","[MAG +20%] for 25 seconds","Random ally","65","10","30121203"
"WHT","Single","Magical","2.20","Holy","1.50","Restores HP (60), damages undeads, grants [Low Regen]","Lowest HP% ally","65","12","30121211"
"WHT","All allies","","","","1.50","Grants [Low Regen]","All allies","65","10","30121221"
"WHT","Single","","","","1.50","Removes KO [Raise: 100%], causes [Instant KO] (100%) to undeads","Random ally with status","85","10","30121231"
"WHT","Single ally","","","","1.50","Grants [Reraise: 80%]","Random ally without status","100","10","30121241"
"WHT","Single","Magical","3.00","Holy","1.50","Restores HP (80), damages undeads, removes KO [Raise: 10%]","Ally with KO or lowest HP% ally","75","10","30121251"
"WHT","Single","Magical","4.00","Holy","1.50","Restores HP (105), damages undeads, removes negative effects","Lowest HP% ally","85","12","30121291"
"WHT","Single","","","","1.65","[MND +20%] for 25 seconds","Random ally without status","65","10","30121301"
"WHT","Single enemy","Magical","9.21","Holy","1.65","Three single attacks (3.07 each), 25% chance to cause [Imperil Holy 10%] for 15 seconds","Lowest HP% enemy","75","10","30121311"
"WHT","Single enemy","Magical","15.50","Holy","1.50","Five single attacks (3.10 each)","Lowest HP% enemy","90","10","30121321"
"WHT","Single","","","","1.50","Grants [Reflect]","Random ally without status","65","10","30991002"
"WHT","Single enemy","Magical","10.50","Holy","1.65","Three single attacks (3.50 each), causes [Imperil Holy 10% (15s)] every second activation","Lowest HP% enemy","90","10","30121331"
"WHT","Single","Magical","21.30","Holy","1.65","Six single attacks (3.55 each)","Lowest HP% enemy","90","10","30121341"
"WHT","Single enemy","Magical","21.30","Holy","1.65","Six single attacks (3.55), smart ether 1 on every second activation","Lowest HP% enemy","90","10","30121351"
"WHT","All allies","","","","1.20","Restores HP (17.50)","All allies","90","10","30121361"
"WHT","All allies","","","","2.10","Restores HP (25)","All allies","100","10","30121371"
"WHT","All allies","","","","1.65","Restores HP (20), restores 1 consumed ability use every fourth activation","All allies","100","10","30121381"
"WHT","All allies","","","","1.65","Restores HP (20), restores 1 consumed ability use every fourth activation","All allies","100","10","30121401"
"WHT","All allies","","","","2.10","Restores HP (25)","All allies","100","10","30121411"
"WHT","All allies","","","","2.10","Restores HP (20), cast time 2.10/1.875/1.65/1.425/1.20 scaling with uses","All allies","100","10","30121391"
"WHT","All allies","","","","1.65","Randomly restores HP (17.50) (33%), restores HP (20) (33%), restores HP (22.50) (33%) or restores HP (80) (1%)","All allies","100","10","30121421"
"NAT","All allies","","","","1.65","Restores 1500 HP and grants [10% Damage Reduction Barrier 1]","All allies","100","10","30121431"
"WHT","All allies","","","","1.65","Restores HP (20)","All allies","100","10","30121441"
"NAT","Single enemy","Magical","-","Holy, Water","1.65","Five single hybrid attacks (3.55 or 4.95 each), minimum damage 2000 (SUM only)","Lowest HP% enemy","90","10","30121451"
"WHT","All allies","","","","1.65","Restores HP (25), grants [White Magic Heals +10% Boost 1] to the user every fourth activation","All allies","100","10","30121471"
"WHT","All allies","","","","1.65","Restores HP (15), grants [HP Stock (1000)]","All allies","100","10","30121481"
"WHT","All allies","","","","1.65","Restores HP (15), grants [HP Stock (1000)]","All allies","100","10","30121491"
"WHT","Single enemy","Magical","17.75","Holy","1.65","Five single attacks (3.55 each), causes [Imperil Holy 10% (5s)]","Lowest HP% enemy","90","10","30121511"
"WHT","All allies","","","","1.65","Restores HP (20), smart ether 1 every fourth activation","All allies","100","10","30121501"
"WHT","All allies","","","","1.65","Restores HP (20), restores 1 consumed ability use every fourth activation","All allies","100","10","30121521"
"WHT","All allies","","","","1.65","Restores HP (20), smart ether 1 every fourth activation","All allies","100","10","30121531"
"WHT","All allies","","","","1.20","Restores HP (17.50)","All allies","90","10","30121541"
"WHT","All allies","","","","1.65","Restores HP (20), grants [Magical Quick Cast 1] every second cast if Palom is alive","All allies","100","10","30121551"
"NAT","All allies","","","","1.65","Restores HP (20)","All allies","100","10","30121561"
"NAT","All allies","","","","1.65","Restores HP (20), smart ether 1 every fourth activation","All allies","100","10","30121571"
"WHT","Single enemy","Magical","10.05","Holy","1.65","Three single attacks (3.35), causes [Imperil Holy 10% (15s)] every second activation","Lowest HP% enemy","90","10","30121581"
"WHT","All allies","","","","?","Restores 1500 HP, grants [??? ATK +5%/10%/20%/30%], grants [??? 1/2/3/3] to the user if the user has ??? 0/1/2/3","All allies","?","10","30121591"
"WHT","All allies","","","","?","Restores HP (?)","All allies","?","10","30121601"
"PHY","Single","Physical","1.10","-","1.65","One single attack (1.10), causes [Paralyze] (10%)","Random enemy without status","60","10","30151011"
"PHY","Single","Physical","1.80","NE","1.65","One single attack (1.80), damages the user for 20% max HP","Lowest HP% enemy","60","10","30151021"
"PHY","Single","Physical","1.75","-","3.00","One single attack (1.75)","Lowest HP% enemy","60","10","30151031"
"PHY","Single","Physical","1.80","-","1.65","Two single attacks (0.90 each)","Lowest HP% enemies","60","10","30151041"
"PHY","All enemies","Physical","1.50","-","1.65","One group attack (1.50)","All enemies","75","10","30151051"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), [MAG -30%] for 15 seconds","Random enemy","65","10","30151061"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), [DEF -30%] for 15 seconds","Random enemy","65","10","30151071"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), [ATK -30%] for 15 seconds","Random enemy","65","10","30151081"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), [RES -30%] for 15 seconds","Random enemy","65","10","30151091"
"PHY","Single","Physical","2.30","-","1.65","One single attack (2.30), 100% hit rate","Lowest HP% enemy","75","10","30151101"
"PHY","Random enemies","Physical","4.00","-","1.65","Four random attacks (1.00 each)","Random enemies","100","10","30151111"
"NAT","Single","","","","1.65","Damages for 25% of the target's current HP, resisted via Instant KO","Highest HP% enemy","65","10","30151121"
"PHY","All enemies","Physical","1.60","Dark","1.65","One group attack (1.60), 100% hit rate","All enemies","70","10","30151131"
"PHY","Single","Physical","2.00","-","1.65","One single attack (2.00)","Random enemy","65","10","30151141"
"PHY","Single","Physical","2.80","NE","1.65","One single attack (2.80), damages the user for 25% max HP","Lowest HP% enemy","75","10","30151151"
"PHY","All enemies","Physical","3.60","Dark, NE","1.65","Three group ranged attacks (1.20 each), causes [Instant KO] (99%)","All enemies","90","10","30151161"
"PHY","Single enemy","Physical","4.80","-","3.30","Four single attacks (1.20 each)","Lowest HP% enemy","100","10","30151171"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), [MND -30%] for 15 seconds","Random enemy","65","10","30151181"
"PHY","Single enemy","Physical","1.08","-","1.65","Four single attacks (0.27~1.42 each scaling with ATK)","Lowest HP% enemy","160","10","30151191"
"PHY","Single","Physical","1.80","-","1.65","One single attack (1.80), 100% hit rate","Lowest HP% enemy","150","10","30171111"
"PHY","Single enemy","Physical","6.60","Earth","1.65","Six single attacks (1.10 each)","Lowest HP% enemy","90","10","30151201"
"PHY","Single enemy","Physical","6.60","Lightning","1.65","Six single attacks (1.10 each)","Lowest HP% enemy","90","10","30151211"
"PHY","Single enemy","Physical","6.60","Fire","1.65","Six single attacks (1.10 each)","Lowest HP% enemy","90","10","30151221"
"NAT","Self","","","","1.65","Restores HP (50)","Self","60","12","30161011"
"NAT","Single","","","","1.65","[ATK +25%] for 25 seconds","Random ally","60","12","30161021"
"NAT","Single","","","","1.65","Causes [Paralyze] (50%)","Random enemy without status","65","10","30161031"
"PHY","Single","Physical","1.40","-","1.65","One single attack (1.40), causes [Sleep] (10%)","Random enemy without status","60","10","30161041"
"PHY","Single","Physical","1.40","-","1.65","One single attack (1.40), causes [Silence] (10%)","Random enemy without status","60","10","30161051"
"PHY","Single","Physical","1.40","-","1.65","One single attack (1.40), causes [Poison] (10%)","Random enemy without status","60","10","30161061"
"PHY","Single","Physical","1.40","-","1.65","One single attack (1.40), causes [Blind] (10%)","Random enemy without status","60","10","30161071"
"NAT","Self","","","","1.65","[ATK +3%] for 15 seconds","Self","180","10","30161081"
"NAT","Another ally","","","","1.65","Transfers the user's Soul Break points to the target","Random ally","85","10","30161091"
"NAT","Single","","","","1.65","Causes [Confuse] (30%)","Random enemy without status","60","6","30161101"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), causes [Silence] (30%)","Random enemy without status","65","10","30161112"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), causes [Blind] (30%)","Random enemy without status","65","10","30161122"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), causes [Poison] (30%)","Random enemy without status","65","10","30161132"
"PHY","Single","Physical","1.70","-","1.65","One single attack (1.70), causes [Sleep] (30%)","Random enemy without status","65","10","30161142"
"PHY","Single","Physical","2.10","-","1.65","One single attack (2.10), [RES -50%] for 15 seconds","Random enemy","75","10","30161152"
"PHY","Single","Physical","2.10","-","1.65","One single attack (2.10), [MAG -50%] for 15 seconds","Random enemy","75","10","30161162"
"PHY","Single","Physical","2.10","-","1.65","One single attack (2.10), [ATK -40%] for 15 seconds","Random enemy","75","10","30161172"
"PHY","Single","Physical","2.10","-","1.65","One single attack (2.10), [DEF -40%] for 15 seconds","Random enemy","75","10","30161182"
"NAT","Single ally","","","","1.50","Removes KO [Raise: 10%]","Random ally with status","60","12","30161191"
"NAT","Single","","","","1.65","Grants [Low Regen]","Random ally without status","60","12","30161201"
"PHY","Single","Physical","2.20","-","1.65","One single attack (2.20), [ATK, DEF, MAG and RES -30%] for 15 seconds","Random enemy","100","10","30161211"
"NAT","Random enemies","Hybrid","-","Poison, NE","1.65","Four random hybrid ranged attacks (1.00 or 3.33), causes Poison (26%), Sleep (26%), Blind (26%) and Silence (26%)","Random enemies","90","10","30161221"
"PHY","Single","Physical","3.00","-","1.65","Two single attacks (1.50 each), causes [Status Chance -50%] for 15 seconds","Lowest HP% enemy","100","10","30161231"
"PHY","Single","Physical","2.10","-","1.65","One single attack (2.10), [MND -40%] for 15 seconds","Random enemy","75","10","30161241"
"NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Three single ranged hybrid attacks (1.00 or 3.30 each)","Lowest HP% enemy","120","10","30161251"
"NAT","Single ally","","","","1.65","Transfers the user's Soul Break points to the target, grants [Quick Cast 1]","Random ally prioritizing self last","100","10","30161261"
"NAT","Single ally","","","","0.83","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 2] to the user","Random ally prioritizing self last","100","10","30161271"
"NAT","All allies","","","","1.65","Grants [10% Damage Reduction Barrier 1], grants [Exertion ATK and MAG +5%/10%/20%/30%], grants [Exertion 1/2/3/3] to the user if the user has Exertion 0/1/2/3","All allies","100","10","30161281"
"NAT","Single ally","","","","1.65","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 1]","Random ally prioritizing self last","100","10","30161291"
"NAT","All allies","","","","1.65","Restores 1000 HP","All allies","180","10","30161301"
"NAT","Single ally","","","","0.83","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 2] to the user","Random ally prioritizing self last","100","10","30161311"
"NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Five single ranged hybrid attacks (1.1 or 3.5 each)","Lowest HP% enemy","90","10","30161321"
"NAT","Single ally","","","","1.65","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 1]","Random ally prioritizing self last","100","10","30161331"
"NAT","Single ally","","","","1.65","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 1] to the user","Random ally prioritizing self last","100","10","30161341"
"NAT","Single enemy","","","","1.65","[ATK, DEF, and MAG -50% (8s)], grants restores 1500 HP to all allies","Lowest HP% enemy","100","10","30161351"
"PHY","Single","Physical","1.10","-","1.20","One single attack (1.10), 100% hit rate","Lowest HP% enemy","60","10","30171001"
"NAT","Self","","","","1.20","Grants [Haste]","Self","65","12","30171011"
"PHY","Single","Physical","2.10","-","1.20","One single ranged attack (2.10), causes [Stop] (40%)","Random enemy without status","75","10","30171021"
